1.2503, 0.0523, 7.0000, 0.0860, 1.2503, 0.0523, -0.0178, 0.0860
2.5006, 0.1045, 6.9821, 0.1719, 1.2512, 0.0523, -0.0357, 0.0857
3.7518, 0.1568, 6.9464, 0.2577, 1.2528, 0.0523, -0.0536, 0.0852
5.0046, 0.2090, 6.8927, 0.3429, 1.2554, 0.0523, -0.0716, 0.0844
6.2602, 0.2613, 6.8205, 0.4273, 1.2589, 0.0523, -0.0899, 0.0834
7.5193, 0.3136, 6.7297, 0.5106, 1.2634, 0.0523, -0.1085, 0.0820
8.7830, 0.3659, 6.6202, 0.5926, 1.2690, 0.0524, -0.1275, 0.0804
10.0524, 0.4183, 6.4917, 0.6728, 1.2759, 0.0524, -0.1470, 0.0783
11.3287, 0.4707, 6.3437, 0.7511, 1.2840, 0.0524, -0.1671, 0.0759
12.6132, 0.5231, 6.1756, 0.8268, 1.2938, 0.0525, -0.1880, 0.0730
13.9076, 0.5756, 5.9865, 0.8997, 1.3055, 0.0526, -0.2097, 0.0696
15.2138, 0.6282, 5.7757, 0.9691, 1.3193, 0.0527, -0.2325, 0.0656
16.5340, 0.6808, 5.5419, 1.0345, 1.3360, 0.0528, -0.2567, 0.0608
17.8709, 0.7336, 5.2840, 1.0951, 1.3560, 0.0529, -0.2824, 0.0552
19.2282, 0.7865, 5.0003, 1.1499, 1.3805, 0.0531, -0.3100, 0.0484
20.6102, 0.8396, 4.6888, 1.1979, 1.4108, 0.0533, -0.3400, 0.0401
22.0229, 0.8930, 4.3472, 1.2375, 1.4490, 0.0537, -0.3729, 0.0300
23.4743, 0.9467, 3.9725, 1.2669, 1.4984, 0.0542, -0.4096, 0.0173
24.9760, 1.0009, 3.5608, 1.2834, 1.5645, 0.0549, -0.4512, 0.0011
26.5451, 1.0558, 3.1072, 1.2834, 1.6571, 0.0561, -0.4993, -0.0203
28.2091, 1.1120, 2.6050, 1.2616, 1.7957, 0.0581, -0.5566, -0.0497
30.0160, 1.1704, 2.0450, 1.2099, 2.0242, 0.0624, -0.6268, -0.0920
32.0620, 1.2332, 1.4137, 1.1147, 2.4678, 0.0730, -0.7169, -0.1567
34.5904, 1.3082, 0.6907, 0.9534, 3.7150, 0.1132, -0.8394, -0.2506
38.7137, 1.4215, -0.1072, 0.7073, 181.1216, 0.1222, 16.2753, 1.6995
225.3046, -7.4575, 15.9797, 2.9194, 105641029.3917, -173858420.6233, -4004176.3663, 9485676.1241
105664138.0659, -173858437.9572, -4908131.2463, 9103922.7863, 2095214949337.1445, -640693732.3444, -68366881482298.2030, -29347746278082.3480
2095320608955.3262, -814552170.3016, -68366886241457.4300, -29347737724612.4020, 1621573985033.9116, -640693732.3163, -56415874685567.1410, -78502084424487.1090
3716894593989.2378, -1455245902.6178, -124782760927024.5600, -107849822149099.5200, 1621573985033.8633, -640693732.3163, -56415874685567.2810, -78502084424488.7970
5338468579023.1006, -2095939634.9341, -181198635612591.8400, -186351906573588.3100, 1621573985033.8523, -640693732.3163, -56415874685567.4220, -78502084424489.1090
6960042564056.9531, -2736633367.2504, -237614510298159.2500, -264853990998077.4100, 1621573985033.8477, -640693732.3163, -56415874685567.4840, -78502084424489.2340
8581616549090.8008, -3377327099.5666, -294030384983726.7500, -343356075422566.6200, 1621573985033.8452, -640693732.3163, -56415874685567.5160, -78502084424489.2970
10203190534124.6460, -4018020831.8829, -350446259669294.3100, -421858159847055.9400, 1621573985033.8435, -640693732.3163, -56415874685567.5390, -78502084424489.3440
11824764519158.4920, -4658714564.1992, -406862134354861.8700, -500360244271545.2500, 1621573985033.8425, -640693732.3163, -56415874685567.5550, -78502084424489.3590
13446338504192.3340, -5299408296.5154, -463278009040429.4400, -578862328696034.5000, 1621573985033.8418, -640693732.3163, -56415874685567.5620, -78502084424489.3590
15067912489226.1760, -5940102028.8317, -519693883725997.0000, -657364413120523.8700, 1621573985033.8413, -640693732.3163, -56415874685567.5620, -78502084424489.3590
16689486474260.0180, -6580795761.1480, -576109758411564.6200, -735866497545013.2500, 1621573985033.8408, -640693732.3163, -56415874685567.5620, -78502084424489.3590
