t,sum_log_stretch
0.018995,0.300563
3.817615,0.466745
7.614300,1.390115
11.407224,2.096290
15.194802,2.729044
18.975453,2.930185
22.747090,2.983213
26.506884,2.994075
30.251344,2.929718
33.976338,2.586566
37.677115,2.574607
41.348472,2.995191
44.984828,2.975251
48.580245,2.583503
52.128613,2.362166
55.623943,2.517020
59.060655,2.522489
62.433899,2.514312
65.739930,2.867347
68.976418,3.475635
72.142578,3.683531
75.239119,3.646390
78.268045,3.815939
81.232360,4.237395
84.135760,4.652927
86.982342,5.107217
89.776372,5.746111
92.522097,6.661916
95.223626,7.772591
97.884842,8.948163
100.509357,10.110080
103.100494,11.217817
105.661285,12.250694
108.194477,13.200056
110.702552,14.065295
113.187747,14.850941
115.652076,15.564304
118.097351,16.213772
120.525204,16.807798
122.937106,17.354420
125.334386,17.861123
127.718244,18.334863
130.089769,18.782147
132.449950,19.209107
134.799686,19.621518
137.139801,20.024752
139.471047,20.423676
141.794114,20.822546
144.109637,21.224919
146.418205,21.633653
148.720359,22.050995
151.016604,22.478748
153.307411,22.918474
155.593218,23.371690
157.874437,23.840014
160.151455,24.325234
162.424637,24.829310
164.694329,25.354295
166.960859,25.902221
169.224540,26.474954
171.485673,27.074094
173.744544,27.700905
176.001431,28.356306
178.256603,29.040905
180.510321,29.755038
182.762838,30.498800
185.014405,31.272053
187.265265,32.074422
189.515662,32.905278
191.765836,33.763729
194.016026,34.648624
196.266470,35.558567
198.517410,36.491936
200.769088,37.446922
203.021749,38.421550
205.275643,39.413708
207.531026,40.421169
209.788160,41.441603
212.047313,42.472581
214.308764,43.511582
216.572803,44.555982
218.839732,45.603048
221.109864,46.649923
223.383531,47.693615
225.661080,48.730977
227.942880,49.758692
230.229321,50.773265
232.520817,51.771013
234.817812,52.748069
237.120779,53.700410
239.430229,54.623895
241.746709,55.514351
244.070813,56.367704
246.403183,57.180174
248.744518,57.948554
251.095579,58.670589
253.457198,59.345423
255.830287,59.974003
258.215847,60.559074
260.614981,61.104164
263.028907,61.611046
265.458972,62.076330
267.906669,62.489246
270.373654,62.832018
272.861765,63.082029
275.373048,63.216498
277.909774,63.240416
280.474462,63.319658
283.069899,63.705148
285.699156,64.164494
288.365598,64.499893
291.072871,64.676683
293.824884,64.683216
296.625751,64.802839
299.479705,65.779239
302.390959,66.893471
305.363528,67.942459
308.400996,68.889839
311.506255,69.639401
