t,sum_log_stretch
0.018995,0.130533
0.968726,0.064361
1.918427,-0.120738
2.868067,-0.060246
3.817615,0.202705
4.767043,0.370249
5.716319,0.475878
6.665414,0.548590
7.614300,0.603719
8.562950,0.662707
9.511337,0.736193
10.459436,0.818509
11.407224,0.910407
12.354677,1.001837
13.301774,1.079417
14.248490,1.139486
15.194802,1.185209
16.140683,1.221759
17.086107,1.249283
18.031041,1.265912
18.975453,1.272563
19.919305,1.274077
20.862558,1.277344
21.805168,1.285409
22.747090,1.295593
23.688274,1.303580
24.628671,1.306791
25.568226,1.305109
26.506884,1.300310
27.444587,1.294739
28.381274,1.289545
29.316882,1.283348
30.251344,1.272360
31.184594,1.252018
32.116559,1.219171
33.047165,1.174160
33.976338,1.123331
34.903999,1.081494
35.830070,1.066117
36.754469,1.081467
37.677115,1.118138
38.597924,1.164977
39.516811,1.214830
40.433690,1.262679
41.348472,1.300795
42.261069,1.322247
43.171389,1.325313
44.079340,1.313422
44.984828,1.292135
45.887758,1.263808
46.788035,1.226622
47.685563,1.178740
48.580245,1.122001
49.471986,1.065158
50.360691,1.024424
51.246264,1.012723
52.128613,1.025876
53.007645,1.048947
53.883269,1.070359
54.755398,1.085254
55.623943,1.093128
56.488821,1.095664
57.349951,1.095455
58.207254,1.094973
59.060655,1.095503
59.910084,1.096511
60.755475,1.096262
61.596765,1.093851
62.433899,1.091952
63.266825,1.098675
64.095497,1.125032
64.919877,1.176074
65.739930,1.245273
66.555629,1.320726
67.366953,1.393035
68.173885,1.456862
68.976418,1.509449
69.774548,1.549539
70.568278,1.577097
71.357616,1.593194
72.142578,1.599737
72.923182,1.599150
73.699453,1.594144
74.471421,1.587758
75.239119,1.583607
76.002587,1.585850
76.761866,1.598223
77.517003,1.622416
78.268045,1.657241
79.015046,1.699515
79.758061,1.745725
80.497146,1.793173
81.232360,1.840277
81.963766,1.886394
82.691425,1.931528
83.415401,1.976091
84.135760,2.020740
84.852567,2.066288
85.565888,2.113660
86.275791,2.163877
86.982342,2.218036
87.685609,2.277272
88.385658,2.342680
89.082557,2.415205
89.776372,2.495504
90.467168,2.583835
91.155011,2.680009
91.839967,2.783436
92.522097,2.893234
