phi,r,z
0.180123,4.984802,0.494328
0.180972,4.984661,0.496622
0.181822,4.984520,0.498915
0.182671,4.984378,0.501208
0.183520,4.984235,0.503501
0.184370,4.984092,0.505793
0.185219,4.983949,0.508085
0.186069,4.983804,0.510377
0.186918,4.983659,0.512668
0.187768,4.983513,0.514959
0.188617,4.983367,0.517249
0.189467,4.983220,0.519539
0.190317,4.983073,0.521828
0.191166,4.982925,0.524118
0.192016,4.982776,0.526406
0.192866,4.982627,0.528695
0.193716,4.982477,0.530983
0.194566,4.982326,0.533270
0.195416,4.982175,0.535557
0.196266,4.982024,0.537844
0.197116,4.981871,0.540131
0.197967,4.981718,0.542416
0.198817,4.981565,0.544702
0.199667,4.981411,0.546987
0.200518,4.981256,0.549272
0.201368,4.981101,0.551556
0.202219,4.980945,0.553840
0.203069,4.980788,0.556123
0.203920,4.980631,0.558406
0.204770,4.980473,0.560689
0.205621,4.980315,0.562971
0.206472,4.980156,0.565253
0.207323,4.979997,0.567534
0.208173,4.979837,0.569815
0.209024,4.979676,0.572095
0.209875,4.979515,0.574375
0.210726,4.979353,0.576655
0.211578,4.979190,0.578934
0.212429,4.979027,0.581213
0.213280,4.978863,0.583491
0.214131,4.978699,0.585769
0.214982,4.978534,0.588046
0.215834,4.978369,0.590323
0.216685,4.978203,0.592600
0.217537,4.978036,0.594876
0.218388,4.977869,0.597151
0.219240,4.977701,0.599426
0.220092,4.977533,0.601701
0.220943,4.977364,0.603975
0.221795,4.977194,0.606249
0.222647,4.977024,0.608522
0.223499,4.976854,0.610795
0.224351,4.976682,0.613067
0.225203,4.976510,0.615339
0.226055,4.976338,0.617611
0.226907,4.976165,0.619882
0.227759,4.975991,0.622152
0.228612,4.975817,0.624422
0.229464,4.975642,0.626692
0.230316,4.975467,0.628961
0.231169,4.975291,0.631229
0.232021,4.975114,0.633498
0.232874,4.974937,0.635765
0.233727,4.974760,0.638032
0.234579,4.974582,0.640299
0.235432,4.974403,0.642565
0.236285,4.974223,0.644831
0.237138,4.974043,0.647096
0.237991,4.973863,0.649361
0.238844,4.973682,0.651625
0.239697,4.973500,0.653889
0.240550,4.973318,0.656152
0.241403,4.973135,0.658415
0.242257,4.972952,0.660677
0.243110,4.972768,0.662939
0.243963,4.972583,0.665200
0.244817,4.972398,0.667461
0.245670,4.972213,0.669721
0.246524,4.972027,0.671981
0.247378,4.971840,0.674240
0.248232,4.971653,0.676499
0.249085,4.971465,0.678757
0.249939,4.971276,0.681015
0.250793,4.971087,0.683272
0.251647,4.970898,0.685528
0.252501,4.970708,0.687784
0.253355,4.970517,0.690040
0.254210,4.970326,0.692295
0.255064,4.970134,0.694550
0.255918,4.969942,0.696804
0.256773,4.969749,0.699057
0.257627,4.969556,0.701310
0.258482,4.969362,0.703563
0.259336,4.969167,0.705815
0.260191,4.968972,0.708066
0.261046,4.968776,0.710317
0.261901,4.968580,0.712567
0.262755,4.968384,0.714817
0.263610,4.968186,0.717066
0.264465,4.967989,0.719315
0.265321,4.967790,0.721563
0.266176,4.967591,0.723811
0.267031,4.967392,0.726058
0.267886,4.967192,0.728304
0.268742,4.966992,0.730550
0.269597,4.966791,0.732795
0.270453,4.966589,0.735040
0.271308,4.966387,0.737285
0.272164,4.966184,0.739528
0.273020,4.965981,0.741771
0.273876,4.965777,0.744014
0.274731,4.965573,0.746256
0.275587,4.965368,0.748498
0.276443,4.965163,0.750739
0.277300,4.964957,0.752979
0.278156,4.964751,0.755219
0.279012,4.964544,0.757458
0.279868,4.964336,0.759697
0.280725,4.964128,0.761935
0.281581,4.963920,0.764172
0.282438,4.963711,0.766409
0.283294,4.963501,0.768645
0.284151,4.963291,0.770881
0.285008,4.963081,0.773116
0.285865,4.962869,0.775351
0.286722,4.962658,0.777585
0.287579,4.962446,0.779818
0.288436,4.962233,0.782051
0.289293,4.962020,0.784283
0.290150,4.961806,0.786515
0.291007,4.961592,0.788746
0.291865,4.961377,0.790977
0.292722,4.961162,0.793206
0.293580,4.960946,0.795436
0.294437,4.960730,0.797664
0.295295,4.960513,0.799892
