init_r,r,ur
2.697000, 3.409049, 0.068129
2.697000, 9.148635, -0.098359
2.697000, 2.840975, -0.020793
2.697000, 2.739365, 0.009017
2.697000, 5.519043, 0.128060
2.697000, 4.414424, -0.111475
2.697000, 2.710865, -0.005251
2.697000, 2.909309, 0.027911
2.697000, 10.796670, 0.059746
2.697000, 3.202422, -0.053540
2.697000, 2.697356, 0.001527
2.697000, 3.631572, 0.081243
2.697000, 7.799549, -0.118385
2.697000, 2.800241, -0.016244
2.697000, 2.771755, 0.012933
2.697000, 6.753000, 0.127598
2.697000, 3.887340, -0.093522
2.697000, 2.699901, -0.002995
2.697000, 3.042108, 0.040334
2.697000, 11.735631, -0.006148
2.697000, 3.013985, -0.037827
2.697000, 2.700829, 0.003310
2.697000, 3.949503, 0.096114
2.697000, 6.556370, -0.128561
2.697000, 2.766526, -0.012318
2.697000, 2.805430, 0.016840
2.697000, 7.983543, 0.116157
2.697000, 3.595951, -0.079308
2.697000, 2.697120, -0.001305
2.697000, 3.229192, 0.055577
2.697000, 10.576037, -0.066350
2.697000, 2.897595, -0.026736
2.697000, 2.713491, 0.005641
2.697000, 4.520453, 0.114125
2.697000, 5.355078, -0.126890
2.697000, 2.735084, -0.008483
2.697000, 2.847596, 0.021512
2.697000, 9.345132, 0.094720
2.697000, 3.382237, -0.066376
2.697000, 2.696983, 0.000189
2.697000, 3.435373, 0.069812
2.697000, 8.962899, -0.101622
2.697000, 2.834922, -0.020132
2.697000, 2.743426, 0.009521
2.697000, 5.674788, 0.128851
2.697000, 4.324431, -0.108999
2.697000, 2.708689, -0.004910
2.697000, 2.921343, 0.029103
2.697000, 10.996806, 0.053046
2.697000, 3.177444, -0.051598
2.697000, 2.697622, 0.001739
2.697000, 3.666512, 0.083084
2.697000, 7.629455, -0.120296
2.697000, 2.795510, -0.015698
2.697000, 2.776678, 0.013509
2.697000, 6.936985, 0.126452
2.697000, 3.834085, -0.091186
2.697000, 2.699220, -0.002710
2.697000, 3.070081, 0.042769
2.697000, 11.664151, -0.017460
2.697000, 2.989827, -0.035623
2.697000, 2.701943, 0.003619
2.697000, 4.014108, 0.098660
2.697000, 6.370348, -0.129204
2.697000, 2.761609, -0.011734
2.697000, 2.810706, 0.017441
2.697000, 8.167348, 0.113768
2.697000, 3.562381, -0.077429
2.697000, 2.696963, -0.001088
2.697000, 3.256663, 0.057620
2.697000, 10.347288, -0.072555
2.697000, 2.886686, -0.025626
2.697000, 2.716586, 0.006079
2.697000, 4.642756, 0.116848
2.697000, 5.188029, -0.125308
2.697000, 2.730723, -0.007934
2.697000, 2.854851, 0.022292
2.697000, 9.552025, 0.090670
2.697000, 3.354998, -0.064554
2.697000, 2.696948, 0.000380
2.697000, 3.461656, 0.071456
2.697000, 8.784685, -0.104597
2.697000, 2.829275, -0.019512
2.697000, 2.747333, 0.010002
2.697000, 5.824675, 0.129342
2.697000, 4.246176, -0.106666
2.697000, 2.706853, -0.004604
2.697000, 2.933866, 0.030328
2.697000, 11.177146, 0.046192
2.697000, 3.153795, -0.049721
2.697000, 2.697906, 0.001944
2.697000, 3.700849, 0.084841
2.697000, 7.471696, -0.121935
2.697000, 2.791168, -0.015195
2.697000, 2.781217, 0.014038
2.697000, 7.105633, 0.125210
2.697000, 3.788894, -0.089116
2.697000, 2.698723, -0.002457
2.697000, 3.096598, 0.045025
2.697000, 11.545569, -0.027363
2.697000, 2.969778, -0.033758
2.697000, 2.703231, 0.003917
2.697000, 4.080519, 0.101127
2.697000, 6.196259, -0.129548
2.697000, 2.757036, -0.011185
2.697000, 2.816165, 0.018055
2.697000, 8.353674, 0.111185
2.697000, 3.530180, -0.075575
2.697000, 2.696896, -0.000870
2.697000, 3.285902, 0.059742
2.697000, 10.104977, -0.078572
2.697000, 2.876150, -0.024539
2.697000, 2.720363, 0.006592
2.697000, 4.789734, 0.119686
2.697000, 5.013068, -0.123182
2.697000, 2.726162, -0.007351
2.697000, 2.863320, 0.023194
2.697000, 9.781831, 0.085884
2.697000, 3.325733, -0.062550
2.697000, 2.696910, 0.000585
2.697000, 3.490058, 0.073193
2.697000, 8.600200, -0.107522
2.697000, 2.823576, -0.018881
2.697000, 2.751419, 0.010502
2.697000, 5.981345, 0.129595
2.697000, 4.171877, -0.104286
2.697000, 2.705175, -0.004303
2.697000, 2.948088, 0.031700
2.697000, 11.348567, 0.038580
2.697000, 3.129439, -0.047749
2.697000, 2.698229, 0.002160
2.697000, 3.737403, 0.086655
2.697000, 7.313307, -0.123445
2.697000, 2.786845, -0.014692
2.697000, 2.785656, 0.014554
2.697000, 7.269558, 0.123838
2.697000, 3.747898, -0.087166
2.697000, 2.698326, -0.002221
2.697000, 3.122580, 0.047186
2.697000, 11.393404, -0.036329
2.697000, 2.952363, -0.032109
2.697000, 2.704738, 0.004221
2.697000, 4.151960, 0.103620
2.697000, 6.025979, -0.129622
2.697000, 2.752584, -0.010645
2.697000, 2.821990, 0.018705
2.697000, 8.548088, 0.108320
2.697000, 3.498322, -0.073690
2.697000, 2.696902, -0.000644
2.697000, 3.317322, 0.061965
2.697000, 9.849170, -0.084420
2.697000, 2.865897, -0.023466
2.697000, 2.724889, 0.007186
2.697000, 4.964180, 0.122495
2.697000, 4.834857, -0.120468
2.697000, 2.721531, -0.006747
2.697000, 2.873310, 0.024243
2.697000, 10.036078, 0.080194
2.697000, 3.294293, -0.060342
2.697000, 2.696892, 0.000809
2.697000, 3.521464, 0.075064
2.697000, 8.405849, -0.110433
2.697000, 2.817715, -0.018229
2.697000, 2.755818, 0.011037
2.697000, 6.149729, 0.129595
2.697000, 4.099362, -0.101800
2.697000, 2.703618, -0.003998
2.697000, 2.964826, 0.033292
2.697000, 11.507151, 0.029880
2.697000, 3.103685, -0.045619
2.697000, 2.698608, 0.002392
2.697000, 3.777464, 0.088579
2.697000, 7.150251, -0.124853
2.697000, 2.782423, -0.014178
2.697000, 2.790008, 0.015060
2.697000, 7.429290, 0.122353
