init_r,r,ur
6.700000,8.357830,-0.024865
6.700000,7.802245,0.031120
6.700000,6.807793,-0.014871
6.700000,8.756331,-0.011362
6.700000,7.275442,0.028903
6.700000,7.122561,-0.026306
6.700000,8.822937,0.005594
6.700000,6.894998,0.019412
6.700000,7.607816,-0.031292
6.700000,8.524951,0.020838
6.700000,6.713143,0.005358
6.700000,8.171650,-0.027987
6.700000,8.000883,0.029898
6.700000,6.745925,-0.009909
6.700000,8.648047,-0.016697
6.700000,7.446684,0.030604
6.700000,6.990859,-0.022916
6.700000,8.843567,-0.000388
6.700000,7.006601,0.023395
6.700000,7.423658,-0.030438
6.700000,8.664162,0.016040
6.700000,6.752468,0.010569
6.700000,7.975234,-0.030115
6.700000,8.196454,0.027638
6.700000,6.709969,-0.004672
6.700000,8.504752,-0.021405
6.700000,7.632466,0.031328
6.700000,6.882338,-0.018854
6.700000,8.816857,-0.006356
6.700000,7.141166,0.026688
6.700000,7.254595,-0.028616
6.700000,8.767395,0.010637
6.700000,6.817647,0.015484
6.700000,7.776755,-0.031201
6.700000,8.380677,0.024393
6.700000,6.700219,0.000695
6.700000,8.334665,-0.025321
6.700000,7.827806,0.031021
6.700000,6.798362,-0.014251
6.700000,8.744568,-0.012080
6.700000,7.296597,0.029175
6.700000,7.104310,-0.025910
6.700000,8.828247,0.004828
6.700000,6.908065,0.019961
6.700000,7.583338,-0.031238
6.700000,8.544683,0.020259
6.700000,6.716754,0.006043
6.700000,8.146675,-0.028319
6.700000,8.026481,0.029664
6.700000,6.739815,-0.009245
6.700000,8.631346,-0.017345
6.700000,7.469955,0.030754
6.700000,6.975505,-0.022427
6.700000,8.842773,-0.001165
6.700000,7.022727,0.023861
6.700000,7.400884,-0.030255
6.700000,8.679674,0.015372
6.700000,6.759442,0.011223
6.700000,7.949553,-0.030314
6.700000,8.221071,0.027273
6.700000,6.707232,-0.003983
6.700000,8.484106,-0.021958
6.700000,7.657277,0.031347
6.700000,6.870089,-0.018287
6.700000,8.810011,-0.007113
6.700000,7.160121,0.027057
6.700000,7.234062,-0.028314
6.700000,8.777749,0.009905
6.700000,6.827922,0.016090
6.700000,7.751352,-0.031265
6.700000,8.403187,0.023907
6.700000,6.700877,0.001390
6.700000,8.311202,-0.025762
6.700000,7.853425,0.030905
6.700000,6.789355,-0.013624
6.700000,8.732120,-0.012790
6.700000,7.318052,0.029432
6.700000,7.086418,-0.025502
6.700000,8.832780,0.004060
6.700000,6.921537,0.020500
6.700000,7.559046,-0.031167
6.700000,8.563930,0.019667
6.700000,6.720802,0.006724
6.700000,8.121549,-0.028634
6.700000,8.052013,0.029412
6.700000,6.734139,-0.008577
6.700000,8.614076,-0.017981
6.700000,7.493461,0.030887
6.700000,6.960541,-0.021926
6.700000,8.841185,-0.001941
6.700000,7.039233,0.024316
6.700000,7.378373,-0.030057
6.700000,8.694569,0.014694
6.700000,6.766847,0.011872
6.700000,7.923855,-0.030496
6.700000,8.245480,0.026891
6.700000,6.704933,-0.003292
6.700000,8.463030,-0.022498
6.700000,7.682238,0.031349
6.700000,6.858252,-0.017711
6.700000,8.802410,-0.007867
6.700000,7.179420,0.027412
6.700000,7.213851,-0.027998
6.700000,8.787381,0.009167
6.700000,6.838618,0.016688
6.700000,7.726049,-0.031311
6.700000,8.425340,0.023406
6.700000,6.701974,0.002084
6.700000,8.287459,-0.026188
6.700000,7.879086,0.030771
6.700000,6.780775,-0.012990
6.700000,8.718998,-0.013492
6.700000,7.339801,0.029673
6.700000,7.068891,-0.025080
6.700000,8.836530,0.003289
6.700000,6.935412,0.021029
6.700000,7.534949,-0.031080
6.700000,8.582673,0.019062
6.700000,6.725286,0.007403
6.700000,8.096290,-0.028933
6.700000,8.077461,0.029143
6.700000,6.728897,-0.007905
6.700000,8.596253,-0.018606
6.700000,7.517191,0.031004
6.700000,6.945972,-0.021415
6.700000,8.838807,-0.002715
6.700000,7.056115,0.024759
6.700000,7.356133,-0.029842
6.700000,8.708829,0.014007
6.700000,6.774682,0.012516
6.700000,7.898157,-0.030661
6.700000,8.269662,0.026493
6.700000,6.703072,-0.002599
6.700000,8.441545,-0.023024
6.700000,7.707335,0.031333
6.700000,6.846829,-0.017127
6.700000,8.794059,-0.008615
6.700000,7.199056,0.027753
6.700000,7.193967,-0.027667
6.700000,8.796281,0.008422
6.700000,6.849731,0.017278
6.700000,7.700859,-0.031339
6.700000,8.447116,0.022890
6.700000,6.703510,0.002778
6.700000,8.263457,-0.026597
6.700000,7.904774,0.030620
6.700000,6.772623,-0.012351
6.700000,8.705218,-0.014185
6.700000,7.361834,0.029899
6.700000,7.051732,-0.024646
6.700000,8.839495,0.002516
6.700000,6.949686,0.021548
6.700000,7.511058,-0.030976
6.700000,8.600895,0.018446
6.700000,6.730205,0.008078
6.700000,8.070916,-0.029214
6.700000,8.102807,0.028858
6.700000,6.724089,-0.007229
6.700000,8.577895,-0.019219
6.700000,7.541135,0.031104
6.700000,6.931800,-0.020894
6.700000,8.835639,-0.003488
6.700000,7.073370,0.025190
6.700000,7.334172,-0.029612
6.700000,8.722441,0.013312
6.700000,6.782944,0.013154
6.700000,7.872474,-0.030808
6.700000,8.293599,0.026079
6.700000,6.701650,-0.001906
6.700000,8.419670,-0.023536
6.700000,7.732555,0.031300
6.700000,6.835823,-0.016535
6.700000,8.784970,-0.009357
6.700000,7.219025,0.028080
6.700000,7.174417,-0.027322
6.700000,8.804439,0.007673
6.700000,6.861261,0.017860
6.700000,7.675796,-0.031350
6.700000,8.468498,0.022361
6.700000,6.705483,0.003470
6.700000,8.239214,-0.026991
6.700000,7.930474,0.030451
6.700000,6.764899,-0.011706
6.700000,8.690793,-0.014870
6.700000,7.384145,0.030109
6.700000,7.034946,-0.024200
6.700000,8.841670,0.001741
6.700000,6.964357,0.022056
6.700000,7.487385,-0.030854
6.700000,8.618577,0.017818
6.700000,6.735559,0.008749
6.700000,8.045445,-0.029479
6.700000,8.128034,0.028555
6.700000,6.719718,-0.006549
6.700000,8.559020,-0.019820
6.700000,7.565284,0.031187
6.700000,6.918029,-0.020362
6.700000,8.831687,-0.004258
6.700000,7.090991,0.025608
6.700000,7.312499,-0.029367
6.700000,8.735391,0.012608
6.700000,6.791634,0.013786
6.700000,7.846822,-0.030937
6.700000,8.317272,0.025650
6.700000,6.700666,-0.001211
6.700000,8.397423,-0.024033
6.700000,7.757885,0.031250
6.700000,6.825236,-0.015934
6.700000,8.775151,-0.010094
6.700000,7.239320,0.028393
6.700000,7.155206,-0.026963
6.700000,8.811847,0.006919
6.700000,6.873204,0.018434
6.700000,7.650873,-0.031344
6.700000,8.489465,0.021817
6.700000,6.707895,0.004160
6.700000,8.214750,-0.027368
6.700000,7.956169,0.030265
6.700000,6.757605,-0.011055
6.700000,8.675738,-0.015545
6.700000,7.406725,0.030304
6.700000,7.018538,-0.023742
6.700000,8.843053,0.000965
6.700000,6.979422,0.022554
6.700000,7.463939,-0.030717
6.700000,8.635702,0.017179
6.700000,6.741348,0.009417
6.700000,8.019894,-0.029726
6.700000,8.153122,0.028235
6.700000,6.715782,-0.005867
6.700000,8.539647,-0.020409
6.700000,7.589625,0.031253
6.700000,6.904661,-0.019820
6.700000,8.826954,-0.005026
6.700000,7.108976,0.026013
6.700000,7.291120,-0.029106
6.700000,8.747664,0.011895
6.700000,6.800750,0.014411
6.700000,7.821217,-0.031048
6.700000,8.340660,0.025205
6.700000,6.700121,-0.000516
6.700000,8.374824,-0.024516
6.700000,7.783312,0.031182
6.700000,6.815068,-0.015327
6.700000,8.764613,-0.010824
6.700000,7.259934,0.028691
6.700000,7.136341,-0.026591
6.700000,8.818496,0.006160
6.700000,6.885559,0.018999
6.700000,7.626102,-0.031320
6.700000,8.509998,0.021260
6.700000,6.710744,0.004849
6.700000,8.190083,-0.027729
6.700000,7.981843,0.030061
6.700000,6.750742,-0.010399
6.700000,8.660069,-0.016210
6.700000,7.429564,0.030482
6.700000,7.002510,-0.023273
6.700000,8.843643,0.000188
6.700000,6.994876,0.023041
6.700000,7.440730,-0.030563
6.700000,8.652254,0.016529
6.700000,6.747569,0.010080
6.700000,7.994281,-0.029956
6.700000,8.178055,0.027899
6.700000,6.712283,-0.005182
6.700000,8.519793,-0.020986
6.700000,7.614148,0.031303
6.700000,6.891698,-0.019269
6.700000,8.821445,-0.005790
6.700000,7.127319,0.026406
6.700000,7.270043,-0.028830
6.700000,8.759248,0.011176
6.700000,6.810290,0.015029
6.700000,7.795673,-0.031143
6.700000,8.363745,0.024745
6.700000,6.700015,0.000179
6.700000,8.351894,-0.024984
6.700000,7.808822,0.031096
6.700000,6.805323,-0.014712
6.700000,8.753368,-0.011547
6.700000,7.280861,0.028974
6.700000,7.117826,-0.026205
6.700000,8.824379,0.005397
6.700000,6.898324,0.019554
6.700000,7.601495,-0.031279
6.700000,8.530078,0.020690
6.700000,6.714031,0.005535
6.700000,8.165233,-0.028074
6.700000,8.007481,0.029839
6.700000,6.744310,-0.009739
6.700000,8.643801,-0.016865
6.700000,7.452655,0.030644
6.700000,6.986868,-0.022791
6.700000,8.843438,-0.000588
6.700000,7.010718,0.023516
6.700000,7.417768,-0.030392
6.700000,8.668215,0.015869
6.700000,6.754223,0.010738
6.700000,7.968623,-0.030168
6.700000,8.202813,0.027545
6.700000,6.709222,-0.004494
6.700000,8.499477,-0.021549
6.700000,7.638841,0.031335
6.700000,6.879144,-0.018709
6.700000,8.815166,-0.006551
6.700000,7.146015,0.026784
6.700000,7.249277,-0.028539
6.700000,8.770130,0.010449
6.700000,6.820253,0.015641
6.700000,7.770204,-0.031219
6.700000,8.386507,0.024269
6.700000,6.700347,0.000874
6.700000,8.328650,-0.025436
6.700000,7.834399,0.030993
6.700000,6.796002,-0.014090
6.700000,8.741427,-0.012263
6.700000,7.302094,0.029242
6.700000,7.099667,-0.025806
6.700000,8.829489,0.004631
6.700000,6.911496,0.020100
6.700000,7.577064,-0.031221
6.700000,8.549687,0.020108
6.700000,6.717755,0.006219
6.700000,8.140218,-0.028402
6.700000,8.033064,0.029601
6.700000,6.738312,-0.009073
6.700000,8.626952,-0.017509
6.700000,7.475987,0.030790
6.700000,6.971614,-0.022299
6.700000,8.842440,-0.001365
6.700000,7.026942,0.023980
6.700000,7.395061,-0.030206
6.700000,8.683570,0.015198
6.700000,6.761308,0.011391
6.700000,7.942935,-0.030363
6.700000,8.227378,0.027176
6.700000,6.706598,-0.003805
6.700000,8.478718,-0.022099
6.700000,7.663692,0.031349
6.700000,6.867001,-0.018140
6.700000,8.808126,-0.007308
6.700000,7.165059,0.027150
6.700000,7.228826,-0.028234
6.700000,8.780299,0.009715
6.700000,6.830637,0.016245
6.700000,7.744825,-0.031278
6.700000,8.408927,0.023779
6.700000,6.701118,0.001569
6.700000,8.305113,-0.025873
6.700000,7.860030,0.030872
6.700000,6.787105,-0.013461
6.700000,8.728804,-0.012971
6.700000,7.323626,0.029495
6.700000,7.081869,-0.025394
6.700000,8.833821,0.003862
6.700000,6.925072,0.020637
6.700000,7.552821,-0.031147
6.700000,8.568806,0.019512
6.700000,6.721915,0.006900
6.700000,8.115056,-0.028713
6.700000,8.058576,0.029345
6.700000,6.732747,-0.008404
6.700000,8.609538,-0.018143
6.700000,7.499551,0.030919
6.700000,6.956751,-0.021796
6.700000,8.840648,-0.002140
6.700000,7.043545,0.024432
6.700000,7.372619,-0.030003
6.700000,8.698302,0.014518
6.700000,6.768824,0.012039
6.700000,7.917236,-0.030540
6.700000,8.251730,0.026790
6.700000,6.704412,-0.003113
6.700000,8.457535,-0.022635
6.700000,7.688689,0.031347
6.700000,6.855270,-0.017562
6.700000,8.800330,-0.008060
6.700000,7.184445,0.027501
6.700000,7.208698,-0.027914
6.700000,8.789743,0.008975
6.700000,6.841440,0.016841
6.700000,7.719550,-0.031320
6.700000,8.430985,0.023274
6.700000,6.702328,0.002263
6.700000,8.281302,-0.026295
6.700000,7.885700,0.030734
6.700000,6.778635,-0.012826
6.700000,8.715512,-0.013671
6.700000,7.345448,0.029733
6.700000,7.064436,-0.024970
6.700000,8.837369,0.003090
6.700000,6.939050,0.021164
6.700000,7.528776,-0.031055
6.700000,8.587416,0.018905
6.700000,6.726511,0.007577
6.700000,8.089766,-0.029007
6.700000,8.083999,0.029071
6.700000,6.727617,-0.007731
6.700000,8.591575,-0.018765
6.700000,7.523337,0.031031
6.700000,6.942284,-0.021282
6.700000,8.838066,-0.002914
6.700000,7.060524,0.024871
6.700000,7.350450,-0.029785
6.700000,8.712397,0.013829
6.700000,6.776769,0.012681
6.700000,7.891540,-0.030700
6.700000,8.275851,0.026388
6.700000,6.702664,-0.002421
6.700000,8.435948,-0.023157
6.700000,7.713819,0.031327
6.700000,6.843955,-0.016975
6.700000,8.791789,-0.008806
6.700000,7.204167,0.027839
6.700000,7.188900,-0.027579
6.700000,8.798453,0.008230
6.700000,6.852661,0.017429
6.700000,7.694392,-0.031344
6.700000,8.452662,0.022755
6.700000,6.703976,0.002956
6.700000,8.257236,-0.026700
6.700000,7.911392,0.030578
6.700000,6.770593,-0.012185
6.700000,8.701564,-0.014362
6.700000,7.367554,0.029955
6.700000,7.047373,-0.024533
6.700000,8.840131,0.002316
6.700000,6.953427,0.021680
6.700000,7.504941,-0.030946
6.700000,8.605501,0.018285
6.700000,6.731543,0.008251
6.700000,8.064365,-0.029284
6.700000,8.109316,0.028781
6.700000,6.722922,-0.007054
6.700000,8.573083,-0.019375
6.700000,7.547336,0.031127
6.700000,6.928215,-0.020758
6.700000,8.834696,-0.003686
6.700000,7.077873,0.025299
6.700000,7.328563,-0.029551
6.700000,8.725840,0.013131
6.700000,6.785142,0.013317
6.700000,7.865864,-0.030843
6.700000,8.299722,0.025970
6.700000,6.701355,-0.001727
6.700000,8.413975,-0.023665
6.700000,7.739069,0.031289
6.700000,6.833056,-0.016381
6.700000,8.782510,-0.009548
6.700000,7.224221,0.028162
6.700000,7.169437,-0.027231
6.700000,8.806419,0.007479
6.700000,6.864297,0.018009
6.700000,7.669363,-0.031350
6.700000,8.473938,0.022222
6.700000,6.706062,0.003648
6.700000,8.232934,-0.027090
6.700000,7.937092,0.030405
6.700000,6.762979,-0.011539
6.700000,8.686975,-0.015044
6.700000,7.389935,0.030161
6.700000,7.030684,-0.024084
6.700000,8.842102,0.001541
6.700000,6.968200,0.022185
6.700000,7.481325,-0.030821
6.700000,8.623041,0.017654
6.700000,6.737009,0.008922
6.700000,8.038872,-0.029544
6.700000,8.134509,0.028474
6.700000,6.718662,-0.006374
6.700000,8.554078,-0.019973
6.700000,7.571535,0.031206
6.700000,6.914547,-0.020223
6.700000,8.830542,-0.004456
6.700000,7.095589,0.025714
6.700000,7.306964,-0.029301
6.700000,8.738617,0.012425
6.700000,6.793941,0.013947
6.700000,7.840223,-0.030967
6.700000,8.323323,0.025537
6.700000,6.700484,-0.001032
6.700000,8.391636,-0.024159
6.700000,7.764425,0.031234
6.700000,6.822577,-0.015779
6.700000,8.772505,-0.010283
6.700000,7.244599,0.028471
6.700000,7.150315,-0.026869
6.700000,8.813632,0.006724
6.700000,6.876347,0.018580
6.700000,7.644478,-0.031339
6.700000,8.494795,0.021675
6.700000,6.708587,0.004338
6.700000,8.208416,-0.027463
6.700000,7.962784,0.030214
6.700000,6.755796,-0.010887
6.700000,8.671760,-0.015717
6.700000,7.412582,0.030351
6.700000,7.014373,-0.023622
6.700000,8.843281,0.000765
