init_r,r,ur
9.300000,6.554853,0.031300
9.300000,7.317977,-0.044704
9.300000,8.813880,0.029935
9.300000,6.226750,0.006351
9.300000,8.364330,-0.039186
9.300000,7.781604,0.044776
9.300000,6.348945,-0.020768
9.300000,9.190557,-0.014748
9.300000,6.853272,0.039399
9.300000,6.918985,-0.040575
9.300000,9.147031,0.017368
9.300000,6.320864,0.018600
9.300000,7.872931,-0.044306
9.300000,8.273461,0.040473
9.300000,6.237197,-0.008705
9.300000,8.887365,-0.027802
9.300000,7.237624,0.044224
9.300000,6.603764,-0.033027
9.300000,9.296092,0.002813
9.300000,6.509195,0.029487
9.300000,7.400642,-0.045041
9.300000,8.736304,0.031950
9.300000,6.219597,0.003981
9.300000,8.453778,-0.037752
9.300000,7.691328,0.045091
9.300000,6.380326,-0.022883
9.300000,9.227185,-0.012069
9.300000,6.790596,0.038109
9.300000,6.987662,-0.041630
9.300000,9.096960,0.019917
9.300000,6.296086,0.016384
9.300000,7.964989,-0.043681
9.300000,8.181627,0.041611
9.300000,6.250941,-0.011037
9.300000,8.956252,-0.025559
9.300000,7.159746,0.043605
9.300000,6.655904,-0.034663
9.300000,9.284401,0.005614
9.300000,6.466806,0.027595
9.300000,7.485436,-0.045232
9.300000,8.655148,0.033841
9.300000,6.215737,0.001602
9.300000,8.541328,-0.036176
9.300000,7.602394,0.045253
9.300000,6.415006,-0.024938
9.300000,9.256613,-0.009340
9.300000,6.731017,0.036708
9.300000,7.059217,-0.042560
9.300000,9.040739,0.022385
9.300000,6.274609,0.014126
9.300000,8.057432,-0.042901
9.300000,8.089260,0.042597
9.300000,6.267983,-0.013341
9.300000,9.020051,-0.023214
9.300000,7.084484,0.042850
9.300000,6.711244,-0.036202
9.300000,9.265027,0.008392
9.300000,6.427701,0.025630
9.300000,7.572154,-0.045273
9.300000,8.570924,0.035602
9.300000,6.215171,-0.000782
9.300000,8.626490,-0.034462
9.300000,7.515067,0.045263
9.300000,6.452980,-0.026927
9.300000,9.278595,-0.006573
9.300000,6.674585,0.035204
9.300000,7.133549,-0.043360
9.300000,8.978802,0.024763
9.300000,6.256432,0.011833
9.300000,8.149886,-0.041968
9.300000,7.996770,0.043430
9.300000,6.288324,-0.015611
9.300000,9.078289,-0.020775
9.300000,7.011961,0.041964
9.300000,6.769745,-0.037639
9.300000,9.238136,0.011135
9.300000,6.391886,0.023597
9.300000,7.660563,-0.045164
9.300000,8.484140,0.037226
9.300000,6.217897,-0.003163
9.300000,8.708759,-0.032615
9.300000,7.429586,0.045123
9.300000,6.494241,-0.028845
9.300000,9.292944,-0.003778
9.300000,6.621340,0.033600
9.300000,7.210542,-0.044027
9.300000,8.911610,0.027042
9.300000,6.241554,0.009510
9.300000,8.241951,-0.040882
9.300000,7.904539,0.044108
9.300000,6.311966,-0.017842
9.300000,9.130523,-0.018253
9.300000,6.942284,0.040951
9.300000,6.831362,-0.038968
9.300000,9.203954,0.013833
9.300000,6.359370,0.021502
9.300000,7.750410,-0.044901
9.300000,8.395290,0.038709
9.300000,6.223917,-0.005537
9.300000,8.787625,-0.030642
9.300000,7.346167,0.044836
9.300000,6.538776,-0.030685
9.300000,9.299537,-0.000968
9.300000,6.571316,0.031904
9.300000,7.290061,-0.044555
9.300000,8.839651,0.029214
9.300000,6.229972,0.007163
9.300000,8.333203,-0.039645
9.300000,7.812923,0.044631
9.300000,6.338911,-0.020028
9.300000,9.176343,-0.015657
9.300000,6.875542,0.039817
9.300000,6.896037,-0.040183
9.300000,9.162764,0.016474
9.300000,6.330153,0.019351
9.300000,7.841409,-0.044485
9.300000,8.304858,0.040047
9.300000,6.233231,-0.007897
9.300000,8.862575,-0.028549
9.300000,7.264999,0.044405
9.300000,6.586570,-0.032443
9.300000,9.298318,0.001846
9.300000,6.524536,0.030120
9.300000,7.371950,-0.044942
9.300000,8.763425,0.031271
9.300000,6.221686,0.004798
9.300000,8.423192,-0.038262
9.300000,7.722252,0.045000
9.300000,6.369157,-0.022161
9.300000,9.215381,-0.012997
9.300000,6.811814,0.038565
9.300000,6.963703,-0.041281
9.300000,9.114902,0.019048
9.300000,6.304239,0.017151
9.300000,7.933253,-0.043913
9.300000,8.213305,0.041237
9.300000,6.245840,-0.010237
9.300000,8.933100,-0.026342
9.300000,7.186253,0.043834
9.300000,6.637602,-0.034111
9.300000,9.289297,0.004652
9.300000,6.481021,0.028255
