init_r,r,ur
10.000000,5.733027,0.038717
10.000000,7.371093,-0.067349
10.000000,8.210548,0.061960
10.000000,5.513710,-0.020179
10.000000,9.742577,-0.025940
10.000000,6.109219,0.054021
10.000000,6.659219,-0.064268
10.000000,9.066077,0.047784
10.000000,5.441391,-0.000099
10.000000,9.073920,-0.047605
10.000000,6.653058,0.064201
10.000000,6.113711,-0.054149
10.000000,9.737710,0.026179
10.000000,5.512304,0.019987
10.000000,8.219092,-0.061863
10.000000,7.363405,0.067359
10.000000,5.735926,-0.038885
10.000000,9.999974,0.000261
10.000000,5.730143,0.038548
10.000000,7.378794,-0.067339
10.000000,8.202006,0.062056
10.000000,5.515131,-0.020370
10.000000,9.747404,-0.025701
10.000000,6.104743,0.053893
10.000000,6.665396,-0.064336
10.000000,9.058217,0.047963
10.000000,5.441404,-0.000298
10.000000,9.081745,-0.047426
10.000000,6.646913,0.064132
10.000000,6.118219,-0.054276
10.000000,9.732802,0.026417
10.000000,5.510911,0.019795
10.000000,8.227639,-0.061766
10.000000,7.355729,0.067367
10.000000,5.738841,-0.039053
10.000000,9.999898,0.000522
10.000000,5.727273,0.038379
10.000000,7.386508,-0.067328
10.000000,8.193466,0.062151
10.000000,5.516566,-0.020561
10.000000,9.752190,-0.025461
10.000000,6.100283,0.053764
10.000000,6.671590,-0.064402
10.000000,9.050340,0.048140
10.000000,5.441432,-0.000497
10.000000,9.089552,-0.047245
10.000000,6.640784,0.064063
10.000000,6.122744,-0.054402
10.000000,9.727855,0.026655
10.000000,5.509532,0.019604
10.000000,8.236188,-0.061667
10.000000,7.348066,0.067375
10.000000,5.741770,-0.039221
10.000000,9.999770,0.000783
10.000000,5.724419,0.038210
10.000000,7.394235,-0.067317
10.000000,8.184928,0.062245
10.000000,5.518015,-0.020752
10.000000,9.756936,-0.025221
10.000000,6.095839,0.053635
10.000000,6.677799,-0.064468
10.000000,9.042447,0.048317
10.000000,5.441472,-0.000696
10.000000,9.097342,-0.047064
10.000000,6.634672,0.063993
10.000000,6.127284,-0.054528
10.000000,9.722867,0.026893
10.000000,5.508167,0.019412
10.000000,8.244739,-0.061568
10.000000,7.340417,0.067381
10.000000,5.744715,-0.039388
10.000000,9.999591,0.001044
10.000000,5.721579,0.038041
10.000000,7.401974,-0.067304
10.000000,8.176394,0.062339
10.000000,5.519477,-0.020943
10.000000,9.761641,-0.024980
10.000000,6.091411,0.053506
10.000000,6.684025,-0.064533
10.000000,9.034536,0.048493
10.000000,5.441527,-0.000895
10.000000,9.105113,-0.046882
10.000000,6.628576,0.063923
10.000000,6.131841,-0.054654
10.000000,9.717841,0.027130
10.000000,5.506817,0.019220
10.000000,8.253291,-0.061468
10.000000,7.332780,0.067387
10.000000,5.747674,-0.039555
10.000000,9.999361,0.001305
10.000000,5.718754,0.037871
10.000000,7.409726,-0.067291
10.000000,8.167862,0.062431
10.000000,5.520954,-0.021134
10.000000,9.766304,-0.024740
10.000000,6.086999,0.053376
10.000000,6.690267,-0.064597
10.000000,9.026610,0.048669
10.000000,5.441595,-0.001093
10.000000,9.112866,-0.046700
10.000000,6.622496,0.063852
10.000000,6.136414,-0.054779
10.000000,9.712775,0.027367
10.000000,5.505480,0.019028
10.000000,8.261845,-0.061367
10.000000,7.325156,0.067392
10.000000,5.750649,-0.039722
10.000000,9.999080,0.001566
10.000000,5.715945,0.037701
10.000000,7.417490,-0.067277
10.000000,8.159334,0.062523
10.000000,5.522445,-0.021324
10.000000,9.770927,-0.024498
10.000000,6.082604,0.053246
10.000000,6.696525,-0.064661
10.000000,9.018667,0.048843
10.000000,5.441677,-0.001292
10.000000,9.120600,-0.046516
10.000000,6.616432,0.063780
10.000000,6.141003,-0.054903
10.000000,9.707669,0.027603
10.000000,5.504157,0.018835
10.000000,8.270401,-0.061265
10.000000,7.317546,0.067397
10.000000,5.753638,-0.039888
10.000000,9.998748,0.001827
10.000000,5.713150,0.037531
10.000000,7.425267,-0.067262
10.000000,8.150809,0.062614
10.000000,5.523950,-0.021515
10.000000,9.775508,-0.024257
10.000000,6.078224,0.053115
10.000000,6.702799,-0.064724
10.000000,9.010708,0.049017
10.000000,5.441772,-0.001491
10.000000,9.128316,-0.046332
10.000000,6.610384,0.063707
10.000000,6.145608,-0.055027
10.000000,9.702525,0.027839
10.000000,5.502848,0.018643
10.000000,8.278958,-0.061162
10.000000,7.309949,0.067400
10.000000,5.756643,-0.040054
10.000000,9.998365,0.002088
10.000000,5.710370,0.037360
10.000000,7.433056,-0.067246
10.000000,8.142287,0.062704
10.000000,5.525469,-0.021705
10.000000,9.780047,-0.024014
10.000000,6.073861,0.052983
10.000000,6.709090,-0.064786
10.000000,9.002734,0.049190
10.000000,5.441881,-0.001690
10.000000,9.136012,-0.046147
10.000000,6.604353,0.063634
10.000000,6.150230,-0.055151
10.000000,9.697342,0.028075
10.000000,5.501553,0.018450
10.000000,8.287516,-0.061058
10.000000,7.302365,0.067403
10.000000,5.759662,-0.040220
10.000000,9.997930,0.002349
10.000000,5.707605,0.037189
10.000000,7.440857,-0.067229
10.000000,8.133768,0.062793
10.000000,5.527002,-0.021895
10.000000,9.784544,-0.023772
10.000000,6.069513,0.052851
10.000000,6.715396,-0.064848
10.000000,8.994744,0.049363
10.000000,5.442004,-0.001888
10.000000,9.143689,-0.045962
10.000000,6.598338,0.063560
10.000000,6.154867,-0.055274
10.000000,9.692120,0.028309
10.000000,5.500272,0.018258
10.000000,8.296075,-0.060954
10.000000,7.294794,0.067405
10.000000,5.762697,-0.040385
10.000000,9.997445,0.002609
10.000000,5.704855,0.037018
10.000000,7.448670,-0.067212
10.000000,8.125254,0.062881
10.000000,5.528549,-0.022085
10.000000,9.789000,-0.023529
10.000000,6.065182,0.052719
10.000000,6.721719,-0.064909
10.000000,8.986739,0.049534
10.000000,5.442140,-0.002087
10.000000,9.151347,-0.045776
10.000000,6.592339,0.063486
10.000000,6.159521,-0.055397
10.000000,9.686860,0.028544
10.000000,5.499005,0.018065
10.000000,8.304634,-0.060849
10.000000,7.287237,0.067406
10.000000,5.765747,-0.040550
10.000000,9.996909,0.002870
10.000000,5.702120,0.036846
10.000000,7.456496,-0.067194
10.000000,8.116742,0.062968
10.000000,5.530110,-0.022275
10.000000,9.793413,-0.023286
10.000000,6.060866,0.052586
10.000000,6.728057,-0.064969
10.000000,8.978719,0.049705
10.000000,5.442290,-0.002286
10.000000,9.158985,-0.045589
10.000000,6.586357,0.063411
10.000000,6.164191,-0.055519
10.000000,9.681562,0.028778
10.000000,5.497752,0.017872
10.000000,8.313194,-0.060742
10.000000,7.279693,0.067406
10.000000,5.768812,-0.040715
10.000000,9.996322,0.003131
10.000000,5.699399,0.036675
10.000000,7.464334,-0.067174
10.000000,8.108235,0.063055
10.000000,5.531685,-0.022464
10.000000,9.797784,-0.023042
10.000000,6.056567,0.052453
10.000000,6.734412,-0.065029
10.000000,8.970684,0.049876
10.000000,5.442454,-0.002485
10.000000,9.166602,-0.045402
10.000000,6.580391,0.063335
10.000000,6.168877,-0.055640
10.000000,9.676226,0.029012
10.000000,5.496512,0.017679
10.000000,8.321755,-0.060635
10.000000,7.272163,0.067406
10.000000,5.771892,-0.040879
10.000000,9.995684,0.003392
10.000000,5.696694,0.036502
10.000000,7.472183,-0.067155
10.000000,8.099732,0.063141
10.000000,5.533275,-0.022654
10.000000,9.802112,-0.022798
10.000000,6.052283,0.052319
10.000000,6.740782,-0.065087
10.000000,8.962635,0.050045
10.000000,5.442631,-0.002683
10.000000,9.174200,-0.045213
10.000000,6.574441,0.063259
10.000000,6.173579,-0.055761
10.000000,9.670852,0.029245
10.000000,5.495287,0.017486
10.000000,8.330316,-0.060528
10.000000,7.264646,0.067405
10.000000,5.774987,-0.041043
10.000000,9.994994,0.003652
10.000000,5.694003,0.036330
10.000000,7.480045,-0.067134
10.000000,8.091233,0.063225
10.000000,5.534878,-0.022843
10.000000,9.806398,-0.022554
10.000000,6.048016,0.052185
10.000000,6.747169,-0.065146
10.000000,8.954571,0.050214
10.000000,5.442822,-0.002882
10.000000,9.181777,-0.045024
10.000000,6.568508,0.063182
10.000000,6.178298,-0.055882
10.000000,9.665441,0.029477
10.000000,5.494076,0.017292
10.000000,8.338878,-0.060419
10.000000,7.257142,0.067402
10.000000,5.778098,-0.041207
10.000000,9.994254,0.003913
