init_r,r,ur
8.600000,7.207636,0.018201
8.600000,7.516937,-0.023269
8.600000,8.491016,0.011222
8.600000,7.012986,0.009527
8.600000,7.894702,-0.023488
8.600000,8.202270,0.019792
8.600000,6.954753,-0.000970
8.600000,8.263929,-0.018541
8.600000,7.824527,0.023837
8.600000,7.038401,-0.011283
8.600000,8.526035,-0.009323
8.600000,7.454330,0.022687
8.600000,7.255932,-0.019428
8.600000,8.596341,0.002107
8.600000,7.163136,0.016856
8.600000,7.581859,-0.023691
8.600000,8.449997,0.013033
8.600000,6.992053,0.007711
8.600000,7.964667,-0.022969
8.600000,8.137706,0.020893
8.600000,6.959405,-0.002904
8.600000,8.322070,-0.017147
8.600000,7.754673,0.024013
8.600000,7.068219,-0.012968
8.600000,8.554641,-0.007350
8.600000,7.394380,0.021951
8.600000,7.307826,-0.020527
8.600000,8.585411,0.004197
8.600000,7.122606,0.015402
8.600000,7.648719,-0.023948
8.600000,8.403455,0.014742
8.600000,6.975664,0.005846
8.600000,8.033861,-0.022279
8.600000,8.070853,0.021836
8.600000,6.968695,-0.004819
8.600000,8.376091,-0.015621
8.600000,7.685641,0.024017
8.600000,7.102343,-0.014571
8.600000,8.576488,-0.005318
8.600000,7.337391,0.021066
8.600000,7.363092,-0.021489
8.600000,8.567345,0.006254
8.600000,7.086195,0.013848
8.600000,7.717108,-0.024036
8.600000,8.351911,0.016336
8.600000,6.963868,0.003945
8.600000,8.101700,-0.021424
8.600000,8.002320,0.022616
8.600000,6.982599,-0.006705
8.600000,8.425413,-0.013973
8.600000,7.617898,0.023851
8.600000,7.140656,-0.016080
8.600000,8.591310,-0.003244
8.600000,7.283639,0.020040
8.600000,7.421472,-0.022307
8.600000,8.542366,0.008261
8.600000,7.054029,0.012207
8.600000,7.786576,-0.023953
8.600000,8.295931,0.017802
8.600000,6.956698,0.002020
8.600000,8.167581,-0.020408
8.600000,7.932702,0.023228
8.600000,7.001074,-0.008549
8.600000,8.469489,-0.012216
8.600000,7.551876,0.023518
8.600000,7.183023,-0.017486
8.600000,8.598923,-0.001144
8.600000,7.233365,0.018882
8.600000,7.482679,-0.022973
8.600000,8.510777,0.010202
8.600000,7.026216,0.010488
8.600000,7.856641,-0.023699
8.600000,8.236104,0.019132
8.600000,6.954175,0.000082
8.600000,8.230892,-0.019238
8.600000,7.862572,0.023669
8.600000,7.024068,-0.010339
8.600000,8.507817,-0.010363
8.600000,7.487970,0.023023
8.600000,7.229284,-0.018778
8.600000,8.599233,0.000966
8.600000,7.186784,0.017600
8.600000,7.546389,-0.023483
8.600000,8.472957,0.012063
8.600000,7.002843,0.008702
8.600000,7.926788,-0.023272
8.600000,8.173039,0.020315
8.600000,6.956305,-0.001857
8.600000,8.291016,-0.017920
8.600000,7.792480,0.023939
8.600000,7.051509,-0.012064
8.600000,8.539948,-0.008428
8.600000,7.426539,0.022369
8.600000,7.279253,-0.019947
8.600000,8.592234,0.003067
8.600000,7.144081,0.016203
8.600000,7.612248,-0.023829
8.600000,8.429347,0.013829
8.600000,6.983983,0.006863
8.600000,7.996472,-0.022674
8.600000,8.107351,0.021345
8.600000,6.963083,-0.003784
8.600000,8.347345,-0.016465
8.600000,7.722942,0.024036
8.600000,7.083311,-0.013713
8.600000,8.565498,-0.006426
8.600000,7.367908,0.021564
8.600000,7.332721,-0.020984
8.600000,8.578016,0.005144
8.600000,7.105420,0.014702
8.600000,7.679861,-0.024009
8.600000,8.380448,0.015486
8.600000,6.969692,0.004980
8.600000,8.065119,-0.021908
8.600000,8.039654,0.022214
8.600000,6.974489,-0.005687
8.600000,8.399285,-0.014881
8.600000,7.654445,0.023962
8.600000,7.119369,-0.015274
8.600000,8.584158,-0.004373
8.600000,7.312369,0.020613
8.600000,7.389446,-0.021882
8.600000,8.556752,0.007180
8.600000,7.070937,0.013107
8.600000,7.748801,-0.024020
8.600000,8.326802,0.017023
8.600000,6.960010,0.003066
8.600000,8.132137,-0.020979
8.600000,7.970552,0.022917
8.600000,6.990491,-0.007555
8.600000,8.446271,-0.013182
8.600000,7.587438,0.023719
8.600000,7.159556,-0.016737
8.600000,8.595698,-0.002285
8.600000,7.260181,0.019526
8.600000,7.449158,-0.022631
8.600000,8.528705,0.009159
8.600000,7.040752,0.011429
8.600000,7.818605,-0.023858
8.600000,8.268986,0.018429
8.600000,6.954966,0.001134
8.600000,8.196918,-0.019891
8.600000,7.900630,0.023451
8.600000,7.011043,-0.009376
8.600000,8.487776,-0.011379
8.600000,7.522338,0.023311
8.600000,7.203726,-0.018092
8.600000,8.599974,-0.000178
8.600000,7.211572,0.018310
8.600000,7.511552,-0.023226
8.600000,8.494213,0.011065
8.600000,7.014961,0.009678
8.600000,7.888773,-0.023524
8.600000,8.207600,0.019692
8.600000,6.954573,-0.000806
8.600000,8.258846,-0.018652
8.600000,7.830451,0.023814
8.600000,7.036082,-0.011138
8.600000,8.523319,-0.009486
8.600000,7.459522,0.022743
8.600000,7.251709,-0.019329
8.600000,8.596933,0.001929
8.600000,7.166745,0.016974
8.600000,7.576293,-0.023662
8.600000,8.453684,0.012884
8.600000,6.993646,0.007866
8.600000,7.958778,-0.023019
8.600000,8.143258,0.020806
8.600000,6.958832,-0.002741
8.600000,8.317308,-0.017270
8.600000,7.760550,0.024004
8.600000,7.065532,-0.012829
8.600000,8.552481,-0.007519
8.600000,7.399334,0.022019
8.600000,7.303308,-0.020439
8.600000,8.586613,0.004022
8.600000,7.125874,0.015529
8.600000,7.643005,-0.023933
8.600000,8.407588,0.014602
8.600000,6.976872,0.006006
8.600000,8.028059,-0.022344
8.600000,8.076575,0.021763
8.600000,6.967731,-0.004659
8.600000,8.371700,-0.015755
8.600000,7.691430,0.024023
8.600000,7.099296,-0.014439
8.600000,8.574911,-0.005491
8.600000,7.342085,0.021146
8.600000,7.358298,-0.021413
8.600000,8.569143,0.006082
8.600000,7.089109,0.013983
8.600000,7.711281,-0.024035
8.600000,8.356446,0.016206
8.600000,6.964686,0.004107
8.600000,8.096035,-0.021503
8.600000,8.008161,0.022556
8.600000,6.981246,-0.006547
8.600000,8.421441,-0.014117
8.600000,7.623561,0.023872
8.600000,7.137260,-0.015957
8.600000,8.590335,-0.003420
8.600000,7.288049,0.020132
8.600000,7.416426,-0.022243
8.600000,8.544737,0.008094
8.600000,7.056580,0.012348
8.600000,7.780676,-0.023967
8.600000,8.300818,0.017684
8.600000,6.957125,0.002183
8.600000,8.162106,-0.020500
8.600000,7.938612,0.023182
8.600000,6.999338,-0.008395
8.600000,8.465981,-0.012369
8.600000,7.557378,0.023553
8.600000,7.179291,-0.017372
8.600000,8.598562,-0.001322
8.600000,7.237473,0.018985
8.600000,7.477406,-0.022923
8.600000,8.513693,0.010041
8.600000,7.028395,0.010636
8.600000,7.850711,-0.023727
8.600000,8.241293,0.019025
8.600000,6.954208,0.000246
8.600000,8.225657,-0.019343
8.600000,7.868504,0.023638
8.600000,7.021952,-0.010190
8.600000,8.504812,-0.010523
8.600000,7.493278,0.023071
8.600000,7.225229,-0.018674
8.600000,8.599490,0.000787
8.600000,7.190572,0.017713
8.600000,7.540918,-0.023446
8.600000,8.476383,0.011909
8.600000,7.004645,0.008856
8.600000,7.920872,-0.023314
8.600000,8.178477,0.020221
8.600000,6.955945,-0.001693
8.600000,8.286074,-0.018037
8.600000,7.798388,0.023922
8.600000,7.049021,-0.011921
8.600000,8.537483,-0.008594
8.600000,7.431625,0.022430
8.600000,7.274893,-0.019854
8.600000,8.593107,0.002890
8.600000,7.147535,0.016325
8.600000,7.606610,-0.023806
8.600000,8.433244,0.013684
8.600000,6.985401,0.007020
8.600000,7.990616,-0.022731
8.600000,8.112987,0.021264
8.600000,6.962331,-0.003622
8.600000,8.342747,-0.016593
8.600000,7.728784,0.024034
8.600000,7.080458,-0.013577
8.600000,8.563602,-0.006597
8.600000,7.372746,0.021637
8.600000,7.328073,-0.020902
8.600000,8.579493,0.004970
8.600000,7.108526,0.014833
8.600000,7.674091,-0.024001
8.600000,8.384771,0.015351
8.600000,6.970722,0.005141
8.600000,8.059373,-0.021979
8.600000,8.045437,0.022146
8.600000,6.973347,-0.005527
8.600000,8.395081,-0.015020
8.600000,7.660181,0.023975
8.600000,7.116160,-0.015146
8.600000,8.582854,-0.004548
8.600000,7.316935,0.020699
8.600000,7.384533,-0.021811
8.600000,8.558816,0.007010
8.600000,7.073686,0.013245
8.600000,7.742936,-0.024025
8.600000,8.331504,0.016898
8.600000,6.960649,0.003229
8.600000,8.126553,-0.021064
8.600000,7.976430,0.022864
8.600000,6.988963,-0.007399
8.600000,8.442506,-0.013330
8.600000,7.593032,0.023746
