t,sum_log_stretch
0.018882,0.129568
0.962968,0.065472
1.907007,-0.114918
2.850949,-0.070368
3.794747,0.191418
4.738353,0.362123
5.681718,0.470089
6.624796,0.544384
7.567537,0.600055
8.509894,0.657282
9.451821,0.728267
10.393270,0.807621
11.334196,0.895923
12.274553,0.985601
13.214294,1.062810
14.153372,1.122657
15.091739,1.167420
16.029343,1.202538
16.966133,1.229259
17.902052,1.245734
18.837042,1.252409
19.771041,1.253423
20.703986,1.255608
21.635808,1.263275
22.566436,1.274778
23.495800,1.285725
24.423822,1.292926
25.350425,1.295586
26.275530,1.294903
27.199052,1.292968
28.120908,1.291259
29.041009,1.289321
29.959265,1.284440
30.875583,1.272494
31.789867,1.249334
32.702020,1.211892
33.611944,1.158793
34.519537,1.091014
35.424698,1.013007
36.327325,0.932469
37.227315,0.858869
38.124567,0.805343
39.018977,0.784073
39.910446,0.799770
40.798872,0.845081
41.684157,0.886092
42.566203,0.882042
43.444916,0.776869
44.320201,0.422643
45.191970,0.891373
46.060135,1.033798
46.924611,1.119540
47.785321,1.180326
48.642187,1.224906
49.495138,1.256599
50.344107,1.277565
51.189033,1.289857
52.029859,1.295468
52.866532,1.296005
53.699007,1.292417
54.527241,1.284921
55.351199,1.273005
56.170851,1.255274
56.986172,1.228916
57.797142,1.188181
58.603748,1.119237
59.405982,0.972071
60.203840,0.696729
60.997327,1.121558
61.786450,1.288995
62.571223,1.409333
63.351663,1.510866
64.127795,1.603146
64.899645,1.690224
65.667247,1.773877
66.430636,1.854806
67.189854,1.933166
67.944943,2.008833
68.695952,2.081551
69.442930,2.151015
70.185931,2.216939
70.925010,2.279078
71.660225,2.337240
72.391637,2.391281
73.119306,2.441106
73.843295,2.486665
74.563668,2.527967
75.280491,2.565092
75.993830,2.598204
76.703749,2.627541
77.410317,2.653406
78.113599,2.676141
78.813663,2.696106
79.510576,2.713660
80.204402,2.729148
80.895209,2.742897
81.583062,2.755218
82.268025,2.766404
82.950162,2.776738
83.629536,2.786489
84.306211,2.795926
84.980246,2.805325
85.651702,2.814986
86.320640,2.825261
86.987116,2.836585
87.651188,2.849514
88.312913,2.864761
88.972344,2.883215
89.629536,2.905934
90.284542,2.934071
90.937412,2.968750
91.588198,3.010877
92.236947,3.060969
92.883709,3.119053
93.528530,3.184695
94.171455,3.257139
94.812530,3.335489
95.451797,3.418866
96.089300,3.506506
96.725080,3.597797
97.359176,3.692272
97.991628,3.789588
98.622475,3.889493
99.251754,3.991796
99.879500,4.096343
100.505750,4.203003
101.130538,4.311656
101.753898,4.422186
102.375861,4.534473
102.996461,4.648400
103.615727,4.763845
104.233691,4.880686
104.850382,4.998800
105.465828,5.118064
106.080057,5.238356
106.693096,5.359559
107.304973,5.481554
107.915712,5.604231
108.525339,5.727478
109.133878,5.851191
109.741353,5.975268
110.347788,6.099613
110.953205,6.224132
111.557626,6.348737
112.161072,6.473344
112.763565,6.597873
113.365125,6.722247
113.965772,6.846394
114.565526,6.970245
115.164405,7.093736
115.762428,7.216806
116.359613,7.339396
116.955977,7.461451
117.551538,7.582920
118.146313,7.703754
118.740318,7.823908
119.333568,7.943338
119.926080,8.062003
120.517869,8.179867
121.108949,8.296893
121.699336,8.413048
122.289042,8.528301
122.878083,8.642624
123.466472,8.755990
124.054222,8.868373
124.641346,8.979752
125.227857,9.090106
125.813767,9.199415
126.399088,9.307662
126.983832,9.414831
127.568010,9.520910
128.151635,9.625884
128.734717,9.729745
129.317268,9.832481
129.899296,9.934086
130.480815,10.034553
131.061832,10.133877
131.642359,10.232055
132.222405,10.329083
132.801980,10.424961
133.381093,10.519689
133.959754,10.613268
134.537972,10.705700
135.115755,10.796988
135.693112,10.887137
136.270052,10.976152
136.846583,11.064039
137.422713,11.150804
137.998451,11.236457
138.573805,11.321005
139.148782,11.404458
139.723389,11.486825
140.297635,11.568118
140.871527,11.648347
141.445072,11.727524
142.018278,11.805662
142.591150,11.882772
143.163697,11.958869
143.735925,12.033965
144.307840,12.108075
144.879450,12.181211
145.450760,12.253390
146.021778,12.324624
146.592509,12.394929
147.162959,12.464321
147.733135,12.532812
148.303043,12.600420
148.872688,12.667159
149.442077,12.733044
150.011215,12.798091
150.580107,12.862315
151.148760,12.925731
151.717179,12.988354
152.285369,13.050200
152.853336,13.111284
153.421085,13.171621
153.988620,13.231225
154.555949,13.290113
155.123074,13.348297
155.690002,13.405794
156.256738,13.462617
156.823286,13.518780
157.389651,13.574299
157.955838,13.629187
158.521852,13.683457
159.087697,13.737123
159.653379,13.790199
160.218901,13.842698
160.784269,13.894633
161.349486,13.946017
161.914558,13.996861
162.479488,14.047180
163.044281,14.096985
163.608942,14.146287
164.173475,14.195099
164.737884,14.243433
165.302173,14.291299
165.866347,14.338709
166.430409,14.385673
166.994364,14.432204
167.558216,14.478310
168.121969,14.524004
168.685627,14.569295
169.249194,14.614192
169.812674,14.658708
170.376072,14.702850
170.939390,14.746630
171.502634,14.790056
172.065807,14.833138
172.628912,14.875887
173.191954,14.918311
173.754937,14.960419
174.317864,15.002222
174.880739,15.043728
175.443567,15.084948
176.006350,15.125889
176.569093,15.166562
177.131800,15.206976
177.694474,15.247141
178.257118,15.287065
178.819738,15.326759
179.382336,15.366232
179.944917,15.405494
180.507483,15.444555
181.070040,15.483424
181.632590,15.522111
182.195137,15.560628
182.757685,15.598983
183.320238,15.637188
183.882799,15.675253
184.445373,15.713188
185.007962,15.751005
185.570571,15.788715
186.133204,15.826328
186.695864,15.863855
187.258554,15.901310
187.821280,15.938702
188.384044,15.976044
188.946850,16.013348
189.509702,16.050625
190.072605,16.087889
190.635561,16.125151
191.198574,16.162424
191.761650,16.199722
192.324790,16.237056
192.888000,16.274439
193.451282,16.311886
194.014642,16.349409
194.578083,16.387022
195.141609,16.424739
195.705224,16.462572
196.268932,16.500537
196.832737,16.538646
197.396643,16.576915
197.960654,16.615358
198.524775,16.653988
199.089009,16.692820
199.653361,16.731870
200.217835,16.771151
200.782435,16.810678
201.347166,16.850466
201.912031,16.890531
202.477036,16.930888
203.042184,16.971551
203.607481,17.012535
204.172930,17.053858
204.738536,17.095533
205.304303,17.137577
205.870238,17.180005
206.436343,17.222834
207.002623,17.266078
207.569085,17.309755
208.135731,17.353880
208.702568,17.398471
209.269600,17.443542
209.836833,17.489112
210.404270,17.535197
210.971918,17.581813
211.539782,17.628979
212.107866,17.676711
212.676177,17.725027
213.244719,17.773945
213.813498,17.823483
214.382520,17.873659
214.951790,17.924492
215.521314,17.976001
216.091097,18.028204
216.661147,18.081122
217.231467,18.134774
217.802066,18.189180
218.372948,18.244362
218.944120,18.300339
219.515588,18.357133
220.087359,18.414766
220.659439,18.473260
221.231835,18.532637
221.804553,18.592921
222.377601,18.654133
222.950986,18.716299
223.524714,18.779441
224.098792,18.843583
224.673229,18.908750
225.248031,18.974965
225.823207,19.042253
226.398763,19.110639
226.974708,19.180145
