init_r,r,ur
2.688120,3.264051,0.058230
2.688120,10.281908,-0.074241
2.688120,2.882844,-0.025410
2.688120,2.694688,0.003566
2.688120,3.882373,0.093350
2.688120,6.767842,-0.127528
2.688120,2.770374,-0.013170
2.688120,2.748896,0.010622
2.688120,5.955292,0.129585
2.688120,4.183275,-0.104691
2.688120,2.701806,-0.004768
2.688120,2.833332,0.020284
2.688120,8.961937,0.101653
2.688120,3.434879,-0.069860
2.688120,2.687010,-0.001352
2.688120,3.060266,0.042018
2.688120,11.694923,-0.013826
2.688120,2.996789,-0.036377
2.688120,2.686907,0.001807
2.688120,3.497515,0.073721
2.688120,8.548908,-0.108324
2.688120,2.820230,-0.018889
2.688120,2.704171,0.005141
2.688120,4.280803,0.107747
2.688120,5.755601,-0.129163
2.688120,2.743554,-0.009999
2.688120,2.773382,0.013542
2.688120,6.883675,0.126823
2.688120,3.848527,-0.091875
2.688120,2.693719,-0.003448
2.688120,2.883473,0.025480
2.688120,10.296740,0.073865
2.688120,3.262249,-0.058101
2.688120,2.687786,-0.000026
2.688120,3.254969,0.057567
2.688120,10.357351,-0.072306
2.688120,2.886222,-0.025759
2.688120,2.693305,0.003379
2.688120,3.831398,0.091112
2.688120,6.944688,-0.126415
2.688120,2.774999,-0.013734
2.688120,2.741527,0.009758
2.688120,5.679321,0.128886
2.688120,4.321446,-0.108940
2.688120,2.705215,-0.005289
2.688120,2.816688,0.018506
2.688120,8.432973,0.110054
2.688120,3.516301,-0.074838
2.688120,2.686996,-0.001929
2.688120,2.981703,0.034991
2.688120,11.627074,0.021092
2.688120,3.078994,-0.043626
2.688120,2.687083,0.001223
2.688120,3.417956,0.068781
2.688120,9.080586,-0.099588
2.688120,2.837243,-0.020697
2.688120,2.701165,0.004664
2.688120,4.156543,0.103803
2.688120,6.014548,-0.129631
2.688120,2.750474,-0.010807
2.688120,2.769269,0.013036
2.688120,6.725663,0.127762
2.688120,3.895144,-0.093895
2.688120,2.695013,-0.003616
2.688120,2.881319,0.025254
2.688120,10.247426,0.075109
2.688120,3.268203,-0.058533
2.688120,2.688147,-0.000027
2.688120,3.260769,0.057990
2.688120,10.309219,-0.073547
2.688120,2.884071,-0.025534
2.688120,2.694558,0.003542
2.688120,3.876581,0.093100
2.688120,6.787249,-0.127416
2.688120,2.770889,-0.013231
2.688120,2.748339,0.010555
2.688120,5.934193,0.129560
2.688120,4.193024,-0.105009
2.688120,2.702050,-0.004804
2.688120,2.832233,0.020168
2.688120,8.928158,0.102229
2.688120,3.439777,-0.070169
2.688120,2.687006,-0.001387
2.688120,3.055412,0.041597
2.688120,11.708328,-0.011877
2.688120,3.000931,-0.036754
2.688120,2.686913,0.001777
2.688120,3.493357,0.073471
2.688120,8.575067,-0.107925
2.688120,2.821040,-0.018976
2.688120,2.704048,0.005121
2.688120,4.275545,0.107590
2.688120,5.765754,-0.129195
2.688120,2.743829,-0.010030
2.688120,2.773339,0.013535
2.688120,6.881760,0.126835
2.688120,3.849075,-0.091899
2.688120,2.693755,-0.003448
2.688120,2.884092,0.025542
2.688120,10.310383,0.073517
2.688120,3.260612,-0.057981
2.688120,2.687836,-0.000008
2.688120,3.258256,0.057808
2.688120,10.329996,-0.073014
2.688120,2.884979,-0.025632
2.688120,2.693619,0.003425
2.688120,3.843483,0.091652
2.688120,6.901480,-0.126706
2.688120,2.773861,-0.013597
2.688120,2.743170,0.009952
2.688120,5.740933,0.129115
2.688120,4.288464,-0.107976
2.688120,2.704377,-0.005168
2.688120,2.819834,0.018846
2.688120,8.535928,0.108520
2.688120,3.499591,-0.073845
2.688120,2.686935,-0.001819
2.688120,2.995681,0.036275
2.688120,11.690964,0.014351
2.688120,3.061586,-0.042132
2.688120,2.687035,0.001345
2.688120,3.434339,0.069826
2.688120,8.965681,-0.101589
2.688120,2.833458,-0.020297
2.688120,2.701881,0.004775
2.688120,4.185746,0.104771
2.688120,5.949922,-0.129579
2.688120,2.748761,-0.010604
2.688120,2.770703,0.013207
2.688120,6.779931,0.127459
2.688120,3.878761,-0.093194
2.688120,2.694629,-0.003549
2.688120,2.884282,0.025554
2.688120,10.313812,0.073429
2.688120,3.260219,-0.057949
2.688120,2.688187,0.000036
2.688120,3.270072,0.058668
2.688120,10.231928,-0.075495
2.688120,2.880642,-0.025184
2.688120,2.695235,0.003647
2.688120,3.903524,0.094250
2.688120,6.698433,-0.127907
2.688120,2.768559,-0.012950
2.688120,2.751599,0.010938
2.688120,6.056694,0.129643
2.688120,4.138090,-0.103178
2.688120,2.700733,-0.004590
2.688120,2.840311,0.021020
2.688120,9.171988,0.097951
2.688120,3.405202,-0.067958
2.688120,2.687164,-0.001123
2.688120,3.093963,0.044893
2.688120,11.556671,-0.026618
2.688120,2.970577,-0.033957
2.688120,2.687157,0.002030
2.688120,3.533353,0.075837
2.688120,8.330835,-0.111528
2.688120,2.813618,-0.018171
2.688120,2.706489,0.005460
2.688120,4.369765,0.110299
2.688120,5.593383,-0.128491
2.688120,2.739253,-0.009485
2.688120,2.777186,0.013991
2.688120,7.026445,0.125831
2.688120,3.809150,-0.090102
2.688120,2.692817,-0.003284
2.688120,2.891380,0.026277
2.688120,10.467103,0.069389
2.688120,3.241804,-0.056593
2.688120,2.687881,0.000132
2.688120,3.278536,0.059283
2.688120,10.161692,-0.077220
2.688120,2.877571,-0.024878
2.688120,2.694943,0.003636
2.688120,3.896857,0.093969
2.688120,6.720030,-0.127793
2.688120,2.769081,-0.013023
2.688120,2.749537,0.010703
2.688120,5.980429,0.129609
2.688120,4.171813,-0.104313
2.688120,2.701474,-0.004730
