init_r,r,ur
2.687500,3.253950,0.057494
2.687500,10.365713,-0.072088
2.687500,2.886578,-0.025800
2.687500,2.692531,0.003286
2.687500,3.804606,0.089895
2.687500,7.043437,-0.125705
2.687500,2.777583,-0.014051
2.687500,2.737143,0.009244
2.687500,5.515703,0.128057
2.687500,4.415933,-0.111541
2.687500,2.707634,-0.005631
2.687500,2.808560,0.017623
2.687500,8.161329,0.113866
2.687500,3.562752,-0.077527
2.687500,2.687272,-0.002223
2.687500,2.946383,0.031676
2.687500,11.338490,0.039086
2.687500,3.130436,-0.047918
2.687500,2.687007,0.000838
2.687500,3.362630,0.065147
2.687500,9.488845,-0.091946
2.687500,2.851284,-0.022179
2.687500,2.697559,0.004138
2.687500,4.015844,0.098761
2.687500,6.364236,-0.129235
2.687500,2.759618,-0.011913
2.687500,2.757760,0.011693
2.687500,6.293847,0.129402
2.687500,4.042039,-0.099750
2.687500,2.698184,-0.004242
2.687500,2.847166,0.021750
2.687500,9.372785,0.094207
2.687500,3.377937,-0.066171
2.687500,2.686920,-0.000957
2.687500,3.112695,0.046459
2.687500,11.451758,-0.033198
2.687500,2.957652,-0.032746
2.687500,2.686938,0.002100
2.687500,3.539651,0.076204
2.687500,8.293719,-0.112051
2.687500,2.812457,-0.018055
2.687500,2.705469,0.005350
2.687500,4.335196,0.109334
2.687500,5.654328,-0.128780
2.687500,2.740801,-0.009686
2.687500,2.773719,0.013599
2.687500,6.899341,0.126721
2.687500,3.844063,-0.091679
2.687500,2.693372,-0.003458
2.687500,2.876690,0.024801
2.687500,10.142620,0.077683
2.687500,3.280810,-0.059452
2.687500,2.687253,-0.000222
2.687500,3.219154,0.054897
2.687500,10.655047,-0.064078
2.687500,2.900733,-0.027225
2.687500,2.690271,0.002915
2.687500,3.712496,0.085487
2.687500,7.417365,-0.122486
2.687500,2.787626,-0.015238
2.687500,2.724960,0.007783
2.687500,5.060228,0.123824
2.687500,4.747379,-0.118936
2.687500,2.716524,-0.006757
2.687500,2.795337,0.016137
2.687500,7.698524,0.119556
2.687500,3.651392,-0.082363
2.687500,2.688788,-0.002665
2.687500,2.910942,0.028242
2.687500,10.840813,0.058348
2.687500,3.196472,-0.053163
2.687500,2.686968,0.000353
2.687500,3.294321,0.060422
2.687500,10.031372,-0.080316
2.687500,2.872011,-0.024328
2.687500,2.693343,0.003490
2.687500,3.848188,0.091863
2.687500,6.884747,-0.126817
2.687500,2.773290,-0.013558
2.687500,2.740066,0.009607
2.687500,5.627950,0.128661
2.687500,4.349968,-0.109752
2.687500,2.705799,-0.005409
2.687500,2.809695,0.017759
2.687500,8.201526,0.113324
2.687500,3.555628,-0.077123
2.687500,2.686955,-0.002210
2.687500,2.943067,0.031363
2.687500,11.301385,0.040834
2.687500,3.135879,-0.048363
2.687500,2.686764,0.000770
2.687500,3.349093,0.064234
2.687500,9.593180,-0.089850
2.687500,2.855030,-0.022577
2.687500,2.695919,0.003918
2.687500,3.955157,0.096383
2.687500,6.537803,-0.128653
2.687500,2.764121,-0.012466
2.687500,2.750711,0.010872
2.687500,6.029685,0.129639
2.687500,4.149820,-0.103579
2.687500,2.700665,-0.004677
2.687500,2.827760,0.019709
2.687500,8.791595,0.104501
2.687500,3.459933,-0.071433
2.687500,2.686465,-0.001593
2.687500,3.018700,0.038362
2.687500,11.742378,0.003737
2.687500,3.035804,-0.039883
2.687500,2.686520,0.001474
2.687500,3.443974,0.070437
2.687500,8.899208,-0.102718
2.687500,2.831219,-0.020076
2.687500,2.700195,0.004596
2.687500,4.129576,0.102888
2.687500,6.076396,-0.129644
2.687500,2.751961,-0.011017
2.687500,2.763466,0.012384
2.687500,6.512299,0.128753
2.687500,3.963747,-0.096727
2.687500,2.696171,-0.003947
2.687500,2.855108,0.022583
2.687500,9.595027,0.089812
2.687500,3.348860,-0.064218
2.687500,2.686844,-0.000759
2.687500,3.138683,0.048590
2.687500,11.281970,-0.041719
2.687500,2.941408,-0.031203
2.687500,2.687129,0.002243
2.687500,3.563192,0.077553
2.687500,8.158801,-0.113901
2.687500,2.808456,-0.017618
2.687500,2.706836,0.005539
2.687500,4.387913,0.110795
2.687500,5.562321,-0.128327
2.687500,2.738346,-0.009396
2.687500,2.775451,0.013808
2.687500,6.965062,0.126274
2.687500,3.825754,-0.090860
2.687500,2.692892,-0.003389
2.687500,2.878464,0.024983
2.687500,10.184239,0.076672
2.687500,3.275772,-0.059089
2.687500,2.687181,-0.000195
2.687500,3.221807,0.055098
2.687500,10.633061,-0.064722
2.687500,2.899581,-0.027112
2.687500,2.690221,0.002918
2.687500,3.712053,0.085465
2.687500,7.419289,-0.122467
2.687500,2.787668,-0.015245
2.687500,2.724610,0.007742
2.687500,5.047515,0.123660
2.687500,4.758466,-0.119142
2.687500,2.716814,-0.006795
2.687500,2.794748,0.016071
2.687500,7.677641,0.119787
2.687500,3.655719,-0.082590
2.687500,2.688846,-0.002688
2.687500,2.908731,0.028024
2.687500,10.802394,0.059579
2.687500,3.201199,-0.053528
2.687500,2.686918,0.000313
2.687500,3.287908,0.059964
2.687500,10.083979,-0.079083
2.687500,2.874183,-0.024552
2.687500,2.692843,0.003415
2.687500,3.828721,0.090994
2.687500,6.954239,-0.126350
2.687500,2.775125,-0.013778
2.687500,2.737588,0.009313
2.687500,5.535028,0.128173
2.687500,4.404194,-0.111231
2.687500,2.707218,-0.005602
2.687500,2.805999,0.017353
2.687500,8.075672,0.114998
2.687500,3.578167,-0.078397
2.687500,2.687181,-0.002342
2.687500,2.928912,0.030002
2.687500,11.121196,0.048438
2.687500,3.160763,-0.050365
2.687500,2.686643,0.000574
2.687500,3.319808,0.062219
2.687500,9.824554,-0.084972
2.687500,2.863728,-0.023483
2.687500,2.693831,0.003609
2.687500,3.873912,0.092990
2.687500,6.796031,-0.127367
2.687500,2.770894,-0.013283
2.687500,2.741556,0.009793
2.687500,5.685466,0.128911
2.687500,4.318062,-0.108845
