init_r,r,ur
2.692100, 3.328963, 0.062812
2.692100, 9.753927, -0.086489
2.692100, 2.861680, -0.023138
2.692100, 2.711525, 0.005683
2.692100, 4.492264, 0.113458
2.692100, 5.396465, -0.127227
2.692100, 2.735276, -0.008718
2.692100, 2.819335, 0.018557
2.692100, 8.483047, 0.109304
2.692100, 3.508537, -0.074330
2.692100, 2.693110, -0.001159
2.692100, 3.184805, 0.052209
2.692100, 10.936926, -0.055142
2.692100, 2.917207, -0.028763
2.692100, 2.700560, 0.003996
2.692100, 4.046452, 0.099896
2.692100, 6.282926, -0.129416
2.692100, 2.758450, -0.011552
2.692100, 2.788365, 0.015064
2.692100, 7.401350, 0.122630
2.692100, 3.716538, -0.085653
2.692100, 2.694753, -0.002420
2.692100, 3.038586, 0.040064
2.692100, 11.739826, -0.004761
2.692100, 3.016805, -0.038124
2.692100, 2.695163, 0.002628
2.692100, 3.753651, 0.087469
2.692100, 7.244752, -0.124063
2.692100, 2.784069, -0.014572
2.692100, 2.761682, 0.011943
2.692100, 6.406543, 0.129108
2.692100, 4.000814, -0.098165
2.692100, 2.699532, -0.003808
2.692100, 2.926447, 0.029669
2.692100, 11.078786, 0.050053
2.692100, 3.166657, -0.050782
2.692100, 2.693254, 0.001307
2.692100, 3.532025, 0.075711
2.692100, 8.341214, -0.111369
2.692100, 2.815099, -0.018085
2.692100, 2.738284, 0.009090
2.692100, 5.511341, 0.128020
2.692100, 4.418912, -0.111604
2.692100, 2.709633, -0.005421
2.692100, 2.867417, 0.023737
2.692100, 9.902512, 0.083245
2.692100, 3.310438, -0.061521
2.692100, 2.692118, 0.000135
2.692100, 3.348123, 0.064126
2.692100, 9.603158, -0.089639
2.692100, 2.856079, -0.022549
2.692100, 2.713646, 0.005969
2.692100, 4.573833, 0.115366
2.692100, 5.279195, -0.126230
2.692100, 2.732200, -0.008336
2.692100, 2.823708, 0.019042
2.692100, 8.627061, 0.107112
2.692100, 3.485577, -0.072953
2.692100, 2.692961, -0.001014
2.692100, 3.202317, 0.053567
2.692100, 10.795738, -0.059781
2.692100, 2.908876, -0.027940
2.692100, 2.701613, 0.004181
2.692100, 4.092053, 0.101555
2.692100, 6.167087, -0.129586
2.692100, 2.755426, -0.011185
2.692100, 2.792421, 0.015526
2.692100, 7.548007, 0.121166
2.692100, 3.683725, -0.083998
2.692100, 2.694432, -0.002230
2.692100, 3.059340, 0.041880
2.692100, 11.698406, -0.013317
2.692100, 2.998247, -0.036442
2.692100, 2.695611, 0.002818
2.692100, 3.788707, 0.089132
2.692100, 7.105279, -0.125221
2.692100, 2.780274, -0.014136
2.692100, 2.764666, 0.012302
2.692100, 6.520327, 0.128714
2.692100, 3.961304, -0.096609
2.692100, 2.698675, -0.003640
2.692100, 2.935589, 0.030556
2.692100, 11.204142, 0.045085
2.692100, 3.149898, -0.049444
2.692100, 2.693393, 0.001446
2.692100, 3.554007, 0.076980
2.692100, 8.213392, -0.113151
2.692100, 2.811336, -0.017665
2.692100, 2.741015, 0.009426
2.692100, 5.615711, 0.128593
2.692100, 4.357233, -0.109938
2.692100, 2.708060, -0.005197
2.692100, 2.872984, 0.024314
2.692100, 10.040957, 0.080086
2.692100, 3.293438, -0.060318
2.692100, 2.692177, 0.000264
2.692100, 3.367121, 0.065408
2.692100, 9.456907, -0.092568
2.692100, 2.850836, -0.021993
2.692100, 2.715924, 0.006271
2.692100, 4.660922, 0.117233
2.692100, 5.164703, -0.125060
2.692100, 2.729190, -0.007961
2.692100, 2.828083, 0.019525
2.692100, 8.768545, 0.104866
2.692100, 3.463820, -0.071623
2.692100, 2.692811, -0.000878
2.692100, 3.218710, 0.054819
2.692100, 10.661060, -0.063893
2.692100, 2.901552, -0.027211
2.692100, 2.702642, 0.004355
2.692100, 4.135872, 0.103086
2.692100, 6.062398, -0.129636
2.692100, 2.752694, -0.010852
2.692100, 2.796068, 0.015940
2.692100, 7.678784, 0.119764
2.692100, 3.655902, -0.082558
2.692100, 2.694186, -0.002065
2.692100, 3.077849, 0.043473
2.692100, 11.633109, -0.020530
2.692100, 2.983242, -0.035063
2.692100, 2.696077, 0.002983
2.692100, 3.820682, 0.090604
2.692100, 6.984733, -0.126127
2.692100, 2.777018, -0.013759
2.692100, 2.767430, 0.012632
2.692100, 6.625192, 0.128263
2.692100, 3.926821, -0.095205
2.692100, 2.697966, -0.003488
2.692100, 2.944884, 0.031451
2.692100, 11.316664, 0.040112
2.692100, 3.133961, -0.048154
2.692100, 2.693546, 0.001580
2.692100, 3.575688, 0.078207
2.692100, 8.091850, -0.114775
2.692100, 2.807804, -0.017268
2.692100, 2.743678, 0.009753
2.692100, 5.717472, 0.129024
2.692100, 4.301152, -0.108335
2.692100, 2.706652, -0.004990
2.692100, 2.878898, 0.024921
2.692100, 10.181715, 0.076727
2.692100, 3.276353, -0.059091
2.692100, 2.692283, 0.000400
2.692100, 3.387852, 0.066784
2.692100, 9.301264, -0.095557
2.692100, 2.845436, -0.021414
2.692100, 2.718607, 0.006620
2.692100, 4.762983, 0.119212
2.692100, 5.042793, -0.123586
2.692100, 2.725981, -0.007558
