init_r,r,ur
2.665100, 2.890766, 0.026430
2.665100, 10.477433, 0.069123
2.665100, 3.239965, -0.056546
2.665100, 2.676375, -0.001213
2.665100, 2.908795, 0.028127
2.665100, 10.812470, 0.059266
2.665100, 3.199665, -0.053456
2.665100, 2.680978, -0.000376
2.665100, 3.096306, 0.045138
2.665100, 11.543117, -0.027569
2.665100, 2.968323, -0.033813
2.665100, 2.678555, 0.001030
2.665100, 3.250535, 0.057313
2.665100, 10.390242, -0.071457
2.665100, 2.886825, -0.025997
2.665100, 2.670132, 0.000632
2.665100, 3.057982, 0.041952
2.665100, 11.699724, -0.013229
2.665100, 2.997187, -0.036566
2.665100, 2.667146, -0.000542
2.665100, 2.850894, 0.022373
2.665100, 9.510248, 0.091533
2.665100, 3.359318, -0.064994
2.665100, 2.678203, -0.001853
2.665100, 2.852012, 0.022403
2.665100, 9.529375, 0.091146
2.665100, 3.357022, -0.064814
2.665100, 2.681429, -0.001455
2.665100, 2.956959, 0.032723
2.665100, 11.447652, 0.033436
2.665100, 3.113211, -0.046531
2.665100, 2.683237, 0.000520
2.665100, 3.256409, 0.057709
2.665100, 10.343346, -0.072675
2.665100, 2.885123, -0.025737
2.665100, 2.681880, 0.002042
2.665100, 3.447000, 0.070663
2.665100, 8.876575, -0.103105
2.665100, 2.829744, -0.020073
2.665100, 2.680396, 0.002279
2.665100, 3.455820, 0.071225
2.665100, 8.816430, -0.104104
2.665100, 2.827557, -0.019893
2.665100, 2.673846, 0.001517
2.665100, 3.240524, 0.056607
2.665100, 10.471672, -0.069283
2.665100, 2.890242, -0.026425
2.665100, 2.658983, -0.000732
2.665100, 2.694599, 0.005240
2.665100, 4.128867, 0.102908
2.665100, 6.076433, -0.129665
2.665100, 2.749297, -0.011309
2.665100, 2.685667, 0.003506
2.665100, 3.720040, 0.085899
2.665100, 7.382847, -0.122827
2.665100, 2.785399, -0.015264
2.665100, 2.689775, 0.003719
2.665100, 3.820875, 0.090663
2.665100, 6.981880, -0.126163
2.665100, 2.774951, -0.013962
2.665100, 2.710848, 0.006256
2.665100, 4.568683, 0.115271
2.665100, 5.285615, -0.126306
2.665100, 2.730353, -0.008582
2.665100, 2.763149, 0.012513
2.665100, 6.528079, 0.128698
2.665100, 3.958220, -0.096521
2.665100, 2.694130, -0.004147
2.665100, 2.796539, 0.016437
2.665100, 7.768197, 0.118773
2.665100, 3.636922, -0.081624
2.665100, 2.685294, -0.002974
2.665100, 2.814372, 0.018413
2.665100, 8.381207, 0.110814
2.665100, 3.524605, -0.075358
2.665100, 2.683076, -0.002448
2.665100, 2.849556, 0.022113
2.665100, 9.456204, 0.092595
2.665100, 3.366656, -0.065451
2.665100, 2.682796, -0.001362
2.665100, 2.991350, 0.035911
2.665100, 11.674825, 0.016329
2.665100, 3.066443, -0.042578
2.665100, 2.683634, 0.000909
2.665100, 3.317055, 0.062051
2.665100, 9.845292, -0.084523
2.665100, 2.864177, -0.023600
2.665100, 2.684515, 0.002509
2.665100, 3.557397, 0.077244
2.665100, 8.190476, -0.113479
2.665100, 2.808874, -0.017774
2.665100, 2.692359, 0.003847
2.665100, 3.883654, 0.093424
2.665100, 6.762799, -0.127564
2.665100, 2.769423, -0.013242
2.665100, 2.725642, 0.007998
2.665100, 5.106824, 0.124407
2.665100, 4.707595, -0.118184
2.665100, 2.714783, -0.006701
2.665100, 2.776212, 0.014071
2.665100, 7.022406, 0.125868
2.665100, 3.809975, -0.090162
2.665100, 2.690051, -0.003612
2.665100, 2.803974, 0.017267
2.665100, 8.028216, 0.115615
2.665100, 3.586670, -0.078895
2.665100, 2.684253, -0.002745
2.665100, 2.828451, 0.019907
2.665100, 8.832114, 0.103842
2.665100, 3.453637, -0.071071
2.665100, 2.682768, -0.001984
2.665100, 2.906996, 0.027900
2.665100, 10.776087, 0.060411
2.665100, 3.204277, -0.053787
2.665100, 2.684005, -0.000052
2.665100, 3.189845, 0.052673
2.665100, 10.893076, -0.056636
2.665100, 2.913782, -0.028567
2.665100, 2.682591, 0.001912
2.665100, 3.440607, 0.070256
2.665100, 8.920526, -0.102365
2.665100, 2.831287, -0.020211
2.665100, 2.683414, 0.002625
2.665100, 3.555401, 0.077138
2.665100, 8.201377, -0.113333
2.665100, 2.808980, -0.017831
2.665100, 2.686343, 0.003138
2.665100, 3.678271, 0.083782
2.665100, 7.570159, -0.120952
2.665100, 2.791019, -0.015807
2.665100, 2.698559, 0.004707
2.665100, 4.117792, 0.102491
2.665100, 6.103775, -0.129642
2.665100, 2.752051, -0.011172
2.665100, 2.744291, 0.010243
2.665100, 5.809194, 0.129324
2.665100, 4.253248, -0.106922
2.665100, 2.702226, -0.005183
2.665100, 2.784498, 0.015071
2.665100, 7.335083, 0.123271
2.665100, 3.731335, -0.086443
2.665100, 2.687453, -0.003375
2.665100, 2.794821, 0.016303
2.665100, 7.716897, 0.119359
2.665100, 3.647269, -0.082181
2.665100, 2.684378, -0.003153
2.665100, 2.776002, 0.014279
2.665100, 7.053432, 0.125645
2.665100, 3.801409, -0.089796
2.665100, 2.686431, -0.003977
2.665100, 2.698839, 0.005528
2.665100, 4.246220, 0.106731
2.665100, 5.822356, -0.129371
2.665100, 2.742891, -0.010478
2.665100, 2.700322, 0.005275
2.665100, 4.233818, 0.106331
2.665100, 5.847964, -0.129423
2.665100, 2.744572, -0.010448
2.665100, 2.729252, 0.008597
2.665100, 5.268149, 0.126147
2.665100, 4.581247, -0.115559
2.665100, 2.710367, -0.006392
2.665100, 2.749519, 0.011146
2.665100, 6.053447, 0.129659
2.665100, 4.138980, -0.103241
2.665100, 2.696631, -0.005071
2.665100, 2.712676, 0.007059
2.665100, 4.726016, 0.118560
2.665100, 5.084291, -0.124150
2.665100, 2.722762, -0.008181
2.665100, 2.701614, 0.005577
2.665100, 4.302200, 0.108406
2.665100, 5.714121, -0.129035
2.665100, 2.740647, -0.010068
2.665100, 2.720989, 0.007682
2.665100, 4.973014, 0.122655
2.665100, 4.825545, -0.120345
2.665100, 2.716915, -0.007211
2.665100, 2.741118, 0.010152
2.665100, 5.736493, 0.129115
2.665100, 4.290311, -0.108057
2.665100, 2.701054, -0.005564
2.665100, 2.715949, 0.007403
2.665100, 4.838477, 0.120575
2.665100, 4.958940, -0.122462
2.665100, 2.719338, -0.007781
2.665100, 2.702642, 0.005723
2.665100, 4.342385, 0.109562
2.665100, 5.640627, -0.128734
2.665100, 2.738609, -0.009846
2.665100, 2.719961, 0.007580
2.665100, 4.938321, 0.122148
2.665100, 4.858474, -0.120897
2.665100, 2.717753, -0.007325
2.665100, 2.738787, 0.009882
2.665100, 5.649894, 0.128776
2.665100, 4.337189, -0.109416
2.665100, 2.702377, -0.005719
2.665100, 2.715715, 0.007366
2.665100, 4.828464, 0.120405
2.665100, 4.969579, -0.122616
2.665100, 2.719682, -0.007809
2.665100, 2.704151, 0.005896
2.665100, 4.395279, 0.111016
2.665100, 5.549148, -0.128268
2.665100, 2.736152, -0.009559
2.665100, 2.721064, 0.007725
2.665100, 4.981118, 0.122772
2.665100, 4.817956, -0.120216
2.665100, 2.716547, -0.007204
2.665100, 2.736359, 0.009617
2.665100, 5.562339, 0.128343
2.665100, 4.387409, -0.110806
2.665100, 2.703694, -0.005897
2.665100, 2.712516, 0.006987
2.665100, 4.711913, 0.118287
2.665100, 5.101060, -0.124354
2.665100, 2.723436, -0.008210
2.665100, 2.707982, 0.006313
2.665100, 4.526811, 0.114320
2.665100, 5.344381, -0.126834
2.665100, 2.730680, -0.008909
2.665100, 2.724810, 0.008195
2.665100, 5.123444, 0.124615
2.665100, 4.693509, -0.117920
2.665100, 2.712883, -0.006827
2.665100, 2.730429, 0.008971
2.665100, 5.349843, 0.126883
2.665100, 4.522943, -0.114234
2.665100, 2.707323, -0.006363
2.665100, 2.706630, 0.006278
2.665100, 4.497520, 0.113626
2.665100, 5.387283, -0.127184
2.665100, 2.731474, -0.009086
2.665100, 2.713497, 0.006890
2.665100, 4.714273, 0.118325
2.665100, 5.098477, -0.124316
2.665100, 2.724152, -0.008113
2.665100, 2.731589, 0.009018
2.665100, 5.378405, 0.127112
2.665100, 4.503573, -0.113768
2.665100, 2.707305, -0.006240
2.665100, 2.722698, 0.008131
2.665100, 5.075087, 0.124034
2.665100, 4.733916, -0.118708
