init_r,r,ur
2.687920,3.260792,0.057994
2.687920,10.308924,-0.073555
2.687920,2.884034,-0.025535
2.687920,2.693979,0.003474
2.687920,3.856796,0.092239
2.687920,6.854823,-0.127007
2.687920,2.772639,-0.013448
2.687920,2.745084,0.010177
2.687920,5.812618,0.129327
2.687920,4.251707,-0.106864
2.687920,2.703461,-0.005031
2.687920,2.823939,0.019286
2.687920,8.668199,0.106478
2.687920,3.478774,-0.072587
2.687920,2.686909,-0.001675
2.687920,3.014772,0.038006
2.687920,11.737970,0.005511
2.687920,3.040003,-0.040250
2.687920,2.686959,0.001495
2.687920,3.454207,0.071073
2.687920,8.830105,-0.103869
2.687920,2.829070,-0.019832
2.687920,2.702580,0.004890
2.687920,4.215123,0.105719
2.687920,5.887338,-0.129489
2.687920,2.747087,-0.010409
2.687920,2.771636,0.013323
2.687920,6.815940,0.127246
2.687920,3.868108,-0.092733
2.687920,2.694325,-0.003511
2.687920,2.884507,0.025579
2.687920,10.319024,0.073296
2.687920,3.259587,-0.057904
2.687920,2.688083,0.000028
2.687920,3.267308,0.058468
2.687920,10.254823,-0.074924
2.687920,2.881639,-0.025288
2.687920,2.694791,0.003587
2.687920,3.887191,0.093557
2.687920,6.751826,-0.127619
2.687920,2.769947,-0.013120
2.687920,2.749294,0.010670
2.687920,5.970425,0.129600
2.687920,4.176357,-0.104463
2.687920,2.701629,-0.004742
2.687920,2.834010,0.020356
2.687920,8.982747,0.101296
2.687920,3.431878,-0.069670
2.687920,2.687006,-0.001331
2.687920,3.063052,0.042259
2.687920,11.686410,-0.014932
2.687920,2.994455,-0.036164
2.687920,2.686899,0.001823
2.687920,3.499676,0.073850
2.687920,8.535387,-0.108529
2.687920,2.819811,-0.018845
2.687920,2.704205,0.005148
2.687920,4.282465,0.107797
2.687920,5.752404,-0.129153
2.687920,2.743464,-0.009989
2.687920,2.773306,0.013534
2.687920,6.881020,0.126840
2.687920,3.849282,-0.091909
2.687920,2.693718,-0.003453
2.687920,2.882759,0.025409
2.687920,10.280880,0.074268
2.687920,3.264154,-0.058241
2.687920,2.687743,-0.000045
2.687920,3.251671,0.057325
2.687920,10.384807,-0.071588
2.687920,2.887485,-0.025887
2.687920,2.693015,0.003336
2.687920,3.820129,0.090603
2.687920,6.985726,-0.126127
2.687920,2.776082,-0.013865
2.687920,2.740005,0.009579
2.687920,5.622267,0.128634
2.687920,4.353209,-0.109841
2.687920,2.706031,-0.005404
2.687920,2.813998,0.018215
2.687920,8.343881,0.111342
2.687920,3.531144,-0.075709
2.687920,2.687079,-0.002024
2.687920,2.970209,0.033923
2.687920,11.554059,0.026801
2.687920,3.094469,-0.044936
2.687920,2.687105,0.001113
2.687920,3.402757,0.067799
2.687920,9.189675,-0.097629
2.687920,2.840900,-0.021084
2.687920,2.700362,0.004543
2.687920,4.124531,0.102712
2.687920,6.088317,-0.129641
2.687920,2.752415,-0.011039
2.687920,2.767228,0.012797
2.687920,6.648967,0.128157
2.687920,3.919012,-0.094899
2.687920,2.695529,-0.003718
2.687920,2.875704,0.024685
2.687920,10.117481,0.078285
2.687920,3.283897,-0.059668
2.687920,2.687972,-0.000160
2.687920,3.239446,0.056416
2.687920,10.486796,-0.068852
2.687920,2.892338,-0.026372
2.687920,2.692911,0.003287
2.687920,3.811302,0.090200
2.687920,7.018424,-0.125890
2.687920,2.776985,-0.013965
2.687920,2.739889,0.009559
2.687920,5.616896,0.128608
2.687920,4.356269,-0.109926
2.687920,2.706154,-0.005410
2.687920,2.815105,0.018331
2.687920,8.380097,0.110823
2.687920,3.525072,-0.075353
2.687920,2.687133,-0.001975
2.687920,2.977683,0.034618
2.687920,11.603683,0.023074
2.687920,3.084291,-0.044076
2.687920,2.687177,0.001195
2.687920,3.415609,0.068630
2.687920,9.097312,-0.099292
2.687920,2.837813,-0.020755
2.687920,2.701404,0.004687
2.687920,4.164224,0.104060
2.687920,5.997323,-0.129621
2.687920,2.750043,-0.010750
2.687920,2.770404,0.013165
2.687920,6.767453,0.127530
2.687920,3.882500,-0.093354
2.687920,2.694806,-0.003554
2.687920,2.886406,0.025766
2.687920,10.360034,0.072235
2.687920,3.254678,-0.057541
2.687920,2.688389,0.000099
2.687920,3.282222,0.059545
2.687920,10.131475,-0.077949
2.687920,2.876340,-0.024741
2.687920,2.696565,0.003835
2.687920,3.953923,0.096328
2.687920,6.541709,-0.128635
2.687920,2.764482,-0.012450
2.687920,2.758050,0.011688
2.687920,6.298367,0.129391
2.687920,4.040373,-0.099684
2.687920,2.698545,-0.004189
2.687920,2.859892,0.023055
2.687920,9.720263,0.087210
2.687920,3.332965,-0.063121
2.687920,2.687887,-0.000522
2.687920,3.188044,0.052502
2.687920,10.909043,-0.056096
2.687920,2.915070,-0.028633
2.687920,2.690354,0.002818
2.687920,3.699897,0.084853
2.687920,7.473170,-0.121937
2.687920,2.789246,-0.015405
2.687920,2.726079,0.007898
2.687920,5.098800,0.124305
2.687920,4.714472,-0.118311
2.687920,2.715732,-0.006637
2.687920,2.799215,0.016561
2.687920,7.833739,0.118001
2.687920,3.624123,-0.080912
2.687920,2.688606,-0.002496
2.687920,2.930767,0.030170
2.687920,11.145937,0.047464
2.687920,3.157508,-0.050099
2.687920,2.687477,0.000696
2.687920,3.350514,0.064325
2.687920,9.582463,-0.090067
2.687920,2.854729,-0.022527
2.687920,2.698389,0.004209
2.687920,4.040713,0.099698
2.687920,6.297419,-0.129394
2.687920,2.757955,-0.011693
2.687920,2.762467,0.012228
2.687920,6.468206,0.128914
2.687920,3.978894,-0.097325
2.687920,2.696948,-0.003959
2.687920,2.865638,0.023654
2.687920,9.870130,0.083970
2.687920,3.314204,-0.061819
2.687920,2.687781,-0.000400
2.687920,3.203144,0.053671
2.687920,10.786887,-0.060067
2.687920,2.907930,-0.027931
2.687920,2.690740,0.002916
2.687920,3.720644,0.085889
2.687920,7.382079,-0.122823
2.687920,2.786742,-0.015118
2.687920,2.728114,0.008149
2.687920,5.175600,0.125191
2.687920,4.651954,-0.117062
2.687920,2.714018,-0.006431
2.687920,2.800358,0.016697
2.687920,7.875148,0.117507
2.687920,3.615999,-0.080475
2.687920,2.688325,-0.002472
2.687920,2.929510,0.030051
2.687920,11.128826,0.048139
2.687920,3.159781,-0.050282
2.687920,2.687289,0.000657
2.687920,3.342005,0.063747
2.687920,9.648765,-0.088707
2.687920,2.857145,-0.022784
2.687920,2.697214,0.004054
2.687920,3.997461,0.098053
2.687920,6.415258,-0.129088
2.687920,2.761002,-0.012069
2.687920,2.757463,0.011649
2.687920,6.281237,0.129427
2.687920,4.046846,-0.099928
2.687920,2.698384,-0.004251
2.687920,2.849049,0.021943
2.687920,9.425675,0.093185
2.687920,3.370932,-0.065703
2.687920,2.687096,-0.000887
2.687920,3.125193,0.047488
2.687920,11.373236,-0.037377
2.687920,2.949635,-0.031985
2.687920,2.687343,0.002207
2.687920,3.561676,0.077465
2.687920,8.167422,-0.113785
2.687920,2.808756,-0.017641
2.687920,2.708014,0.005673
2.687920,4.429107,0.111884
2.687920,5.494302,-0.127923
2.687920,2.736593,-0.009173
2.687920,2.778663,0.014173
2.687920,7.082942,0.125404
2.687920,3.794210,-0.089414
2.687920,2.692365,-0.003234
2.687920,2.890957,0.026239
2.687920,10.458702,0.069617
2.687920,3.242802,-0.056668
2.687920,2.687672,0.000101
2.687920,3.270716,0.058719
2.687920,10.226358,-0.075634
2.687920,2.880345,-0.025165
2.687920,2.693913,0.003494
2.687920,3.858569,0.092318
2.687920,6.848641,-0.127046
2.687920,2.772440,-0.013433
2.687920,2.744252,0.010085
2.687920,5.782388,0.129245
2.687920,4.266997,-0.107332
2.687920,2.703797,-0.005093
2.687920,2.820835,0.018956
2.687920,8.568801,0.108020
2.687920,3.494347,-0.073531
2.687920,2.686853,-0.001791
2.687920,2.998082,0.036495
2.687920,11.699351,0.013214
2.687920,3.058733,-0.041886
2.687920,2.686961,0.001357
2.687920,3.434846,0.069858
2.687920,8.962139,-0.101650
2.687920,2.833330,-0.020286
2.687920,2.701600,0.004744
2.687920,4.176117,0.104455
2.687920,5.970947,-0.129601
2.687920,2.749297,-0.010672
2.687920,2.769596,0.013081
2.687920,6.739068,0.127690
2.687920,3.891051,-0.093722
2.687920,2.694841,-0.003608
2.687920,2.879701,0.025093
2.687920,10.210847,0.076017
2.687920,3.272603,-0.058853
2.687920,2.687979,-0.000078
2.687920,3.250921,0.057267
2.687920,10.391161,-0.071420
2.687920,2.887803,-0.025915
2.687920,2.693560,0.003397
2.687920,3.838386,0.091424
2.687920,6.919630,-0.126585
2.687920,2.774363,-0.013652
2.687920,2.743157,0.009947
2.687920,5.739833,0.129111
2.687920,4.289045,-0.107993
2.687920,2.704420,-0.005167
2.687920,2.820653,0.018932
2.687920,8.562226,0.108121
2.687920,3.495399,-0.073593
2.687920,2.686974,-0.001784
2.687920,3.000956,0.036756
2.687920,11.708391,0.011867
2.687920,3.055389,-0.041595
2.687920,2.687060,0.001394
2.687920,3.441585,0.070283
2.687920,8.915781,-0.102438
2.687920,2.831841,-0.020124
2.687920,2.702373,0.004845
2.687920,4.204727,0.105387
2.687920,5.909225,-0.129525
2.687920,2.747694,-0.010475
2.687920,2.771937,0.013351
2.687920,6.826069,0.127184
2.687920,3.865153,-0.092604
2.687920,2.694352,-0.003488
2.687920,2.888058,0.025934
2.687920,10.395922,0.071294
2.687920,3.250367,-0.057224
2.687920,2.688311,0.000121
2.687920,3.283988,0.059672
2.687920,10.116883,-0.078299
2.687920,2.875715,-0.024679
2.687920,2.696467,0.003828
2.687920,3.951243,0.096220
2.687920,6.549740,-0.128602
2.687920,2.764680,-0.012477
2.687920,2.757418,0.011616
2.687920,6.274959,0.129438
2.687920,4.049279,-0.100016
2.687920,2.698722,-0.004228
2.687920,2.857362,0.022795
2.687920,9.653024,0.088618
2.687920,3.341490,-0.063708
2.687920,2.687761,-0.000598
2.687920,3.175549,0.051526
2.687920,11.007909,-0.052664
2.687920,2.921272,-0.029243
2.687920,2.689660,0.002690
2.687920,3.669816,0.083319
2.687920,7.610879,-0.120513
2.687920,2.793022,-0.015845
2.687920,2.722032,0.007407
2.687920,4.947999,0.122278
2.687920,4.849625,-0.120736
2.687920,2.719382,-0.007084
2.687920,2.795538,0.016137
2.687920,7.701928,0.119517
2.687920,3.650724,-0.082325
2.687920,2.689215,-0.002610
2.687920,2.925060,0.029614
2.687920,11.064913,0.050581
2.687920,3.168197,-0.050947
2.687920,2.687648,0.000639
2.687920,3.345253,0.063966
2.687920,9.623510,-0.089228
2.687920,2.856257,-0.022683
2.687920,2.698606,0.004223
2.687920,4.046523,0.099914
2.687920,6.282152,-0.129424
2.687920,2.757587,-0.011641
2.687920,2.763862,0.012385
2.687920,6.519657,0.128723
2.687920,3.961314,-0.096626
2.687920,2.696637,-0.003876
2.687920,2.871852,0.024287
2.687920,10.024392,0.080477
2.687920,3.295236,-0.060478
2.687920,2.688105,-0.000226
2.687920,3.232457,0.055893
2.687920,10.545037,-0.067238
2.687920,2.895204,-0.026658
2.687920,2.692851,0.003259
2.687920,3.806145,0.089964
2.687920,7.037743,-0.125747
2.687920,2.777519,-0.014024
2.687920,2.739810,0.009546
2.687920,5.613337,0.128590
2.687920,4.358302,-0.109982
2.687920,2.706232,-0.005414
2.687920,2.815725,0.018396
2.687920,8.400317,0.110530
2.687920,3.521709,-0.075156
2.687920,2.687166,-0.001947
2.687920,2.981949,0.035012
2.687920,11.628388,0.020975
2.687920,3.078690,-0.043599
2.687920,2.687216,0.001241
2.687920,3.422651,0.069081
2.687920,9.047433,-0.100172
2.687920,2.836166,-0.020579
2.687920,2.701968,0.004765
