E0.950000, L_z3.000000, r7.000000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.493000
E0.950000, L_z3.000000, r6.800000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.491001
E0.950000, L_z3.000000, r6.600000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.488000
E0.950000, L_z3.000000, r6.400000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.487000
E0.950000, L_z3.000000, r6.200000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.484999
E0.950000, L_z3.000000, r6.000000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.485000
E0.950000, L_z3.000000, r5.800000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.459999
E0.950000, L_z3.000000, r5.600000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.481000
E0.950000, L_z3.000000, r5.400000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.481999
E0.950000, L_z3.000000, r5.200000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.480000
E0.950000, L_z3.000000, r5.000000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.483000
E0.950000, L_z3.000000, r4.800000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.488001
E0.950000, L_z3.000000, r4.600000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.486001
E0.950000, L_z3.000000, r4.400000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.487001
E0.950000, L_z3.000000, r4.200000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.490002
E0.950000, L_z3.000000, r4.000000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.491999
E0.950000, L_z3.000000, r3.800000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.495003
E0.950000, L_z3.000000, r3.600000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.501998
E0.950000, L_z3.000000, r3.400000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.503999
E0.950000, L_z3.000000, r3.200000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.500003
E0.950000, L_z3.000000, r3.000000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.459997
E0.950000, L_z3.000000, r2.800000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.421997
E0.950000, L_z3.000000, r2.600000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.000988
E0.950000, L_z3.000000, r2.400000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.000000
E0.950000, L_z3.000000, r2.200000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.000000
