t,sum_log_stretch
0.014012,0.077788
0.714596,0.055481
1.415132,-0.012612
2.115573,-0.131681
2.815872,-0.265515
3.515981,-0.218766
4.215856,-0.032284
4.915449,0.129341
5.614716,0.253595
6.313612,0.352817
7.012093,0.436667
7.710114,0.510841
8.407635,0.578261
9.104612,0.640755
9.801005,0.700433
10.496775,0.759914
11.191883,0.821248
11.886291,0.884664
12.579964,0.948672
13.272864,1.011498
13.964960,1.072321
14.656218,1.131306
15.346606,1.188815
16.036095,1.244753
16.724657,1.298564
17.412263,1.349583
18.098888,1.397274
18.784508,1.441279
19.469099,1.481427
20.152640,1.517699
20.835110,1.550050
21.516491,1.578193
22.196764,1.601563
22.875915,1.619532
23.553927,1.631688
24.230788,1.637967
24.906484,1.638630
25.581006,1.634144
26.254343,1.625007
26.926487,1.611545
27.597430,1.593772
28.267167,1.571425
28.935691,1.544144
29.602999,1.511644
30.269088,1.473749
30.933955,1.430301
31.597600,1.380979
32.260023,1.325007
32.921223,1.260574
33.581202,1.183643
34.239964,1.084957
34.897509,0.938333
35.553844,0.577664
36.208971,0.773649
36.862895,0.932026
37.515624,0.996914
38.167162,1.021762
38.817516,1.015508
39.466694,0.969934
40.114703,0.834707
40.761552,0.623848
41.407249,1.024716
42.051803,1.194811
42.695223,1.316965
43.337519,1.418472
43.978701,1.509150
44.618779,1.593755
45.257763,1.675022
45.895664,1.754731
46.532493,1.834171
47.168261,1.914350
47.802979,1.996101
48.436658,2.080120
49.069310,2.166980
49.700946,2.257123
50.331578,2.350852
50.961218,2.448321
51.589877,2.549545
52.217568,2.654412
52.844301,2.762712
53.470090,2.874160
54.094945,2.988427
54.718879,3.105166
55.341903,3.224027
55.964030,3.344674
56.585271,3.466789
57.205638,3.590076
57.825142,3.714265
58.443796,3.839106
59.061611,3.964374
59.678599,4.089859
60.294770,4.215372
60.910137,4.340734
61.524711,4.465785
62.138503,4.590373
62.751524,4.714358
63.363785,4.837609
63.975298,4.960004
64.586073,5.081429
65.196121,5.201778
65.805452,5.320951
66.414078,5.438856
67.022008,5.555407
67.629254,5.670524
68.235825,5.784134
68.841732,5.896169
69.446984,6.006569
70.051592,6.115277
70.655566,6.222243
71.258914,6.327424
71.861648,6.430781
72.463775,6.532281
73.065307,6.631896
73.666251,6.729606
74.266618,6.825391
74.866416,6.919242
75.465654,7.011151
76.064342,7.101116
76.662487,7.189139
77.260099,7.275228
77.857186,7.359392
78.453756,7.441646
79.049819,7.522007
79.645381,7.600498
80.240452,7.677141
80.835039,7.751964
81.429150,7.824994
82.022793,7.896264
82.615977,7.965804
83.208707,8.033650
83.800993,8.099837
84.392841,8.164400
84.984258,8.227378
85.575253,8.288807
86.165832,8.348725
86.756003,8.407171
87.345772,8.464183
87.935146,8.519799
88.524133,8.574054
89.112738,8.626988
89.700969,8.678634
90.288832,8.729028
90.876335,8.778204
91.463482,8.826194
92.050281,8.873028
92.636737,8.918735
93.222858,8.963343
93.808649,9.006878
94.394117,9.049363
94.979267,9.090819
95.564105,9.131268
96.148637,9.170727
96.732870,9.209213
97.316808,9.246740
97.900458,9.283323
98.483824,9.318973
99.066914,9.353701
99.649731,9.387518
100.232283,9.420432
100.814573,9.452453
101.396608,9.483589
101.978392,9.513849
102.559931,9.543241
103.141230,9.571773
103.722295,9.599456
104.303130,9.626299
104.883740,9.652312
105.464131,9.677509
106.044306,9.701900
106.624272,9.725502
107.204033,9.748328
107.783594,9.770397
108.362960,9.791726
108.942135,9.812335
109.521124,9.832247
110.099932,9.851486
110.678563,9.870076
111.257022,9.888046
111.835313,9.905425
112.413442,9.922245
112.991411,9.938541
113.569227,9.954350
114.146893,9.969709
114.724414,9.984663
115.301794,9.999254
115.879037,10.013530
116.456148,10.027542
117.033131,10.041343
117.609990,10.054989
118.186729,10.068541
118.763353,10.082061
119.339866,10.095615
119.916272,10.109273
120.492574,10.123107
121.068778,10.137190
121.644888,10.151601
122.220906,10.166417
122.796838,10.181718
123.372687,10.197584
