init_r,r,ur
2.682100, 3.166093, 0.050824
2.682100, 11.079020, -0.050060
2.682100, 2.925595, -0.029745
2.682100, 2.678896, 0.001387
2.682100, 3.305757, 0.061295
2.682100, 9.934448, -0.082546
2.682100, 2.867158, -0.024014
2.682100, 2.670214, 0.000788
2.682100, 3.080642, 0.043898
2.682100, 11.616938, -0.022016
2.682100, 2.978878, -0.034899
2.682100, 2.665043, -0.000659
2.682100, 2.801443, 0.017187
2.682100, 7.973012, 0.116321
2.682100, 3.596667, -0.079481
2.682100, 2.680143, -0.003299
2.682100, 2.690058, 0.004546
2.682100, 3.947083, 0.096101
2.682100, 6.560291, -0.128578
2.682100, 2.762568, -0.012769
2.682100, 2.688263, 0.003713
2.682100, 3.794154, 0.089444
2.682100, 7.081739, -0.125423
2.682100, 2.777386, -0.014302
2.682100, 2.701350, 0.005135
2.682100, 4.230642, 0.106223
2.682100, 5.854768, -0.129433
2.682100, 2.745354, -0.010403
2.682100, 2.746774, 0.010573
2.682100, 5.908671, 0.129531
2.682100, 4.204757, -0.105401
2.682100, 2.700637, -0.005045
2.682100, 2.778209, 0.014397
2.682100, 7.112244, 0.125185
2.682100, 3.786234, -0.089076
2.682100, 2.688051, -0.003683
2.682100, 2.763179, 0.012838
2.682100, 6.582901, 0.128481
2.682100, 3.939647, -0.095799
2.682100, 2.689860, -0.004519
2.682100, 2.680666, 0.003363
2.682100, 3.614615, 0.080460
2.682100, 7.879285, -0.117472
2.682100, 2.798761, -0.016888
2.682100, 2.666508, 0.000855
2.682100, 3.029343, 0.039466
2.682100, 11.746159, -0.001348
2.682100, 3.023166, -0.038919
2.682100, 2.666164, -0.000851
2.682100, 2.793826, 0.016358
2.682100, 7.708943, 0.119455
2.682100, 3.648651, -0.082279
2.682100, 2.681183, -0.003539
2.682100, 2.674681, 0.002717
2.682100, 3.422115, 0.069145
2.682100, 9.045661, -0.100222
2.682100, 2.834200, -0.020763
2.682100, 2.651241, -0.001252
2.682100, 2.502083, -0.019163
