E0.950000, L_z3.000000, r10.500000, ur0.000000, M1.000000, J0.300000, M2-0.135000, S3-0.027000, M40.008100
0.1148, 0.0023, 10.5000, 0.0134, 1.1477, 0.0229, -0.0003, 0.1339
148.1517, 6.4557, 4.9007, 0.0029, 1.4133, 0.0872, 0.0302, 0.2354
335.9266, 12.8826, 8.3773, 0.0141, 1.2030, 0.0345, -0.0751, 0.1603
447.6788, 19.3595, 6.0089, 0.0046, 1.3167, 0.0618, 0.0777, 0.2053
647.4930, 25.7753, 5.8954, 0.0158, 1.3247, 0.0639, -0.0764, 0.2077
760.5062, 32.2499, 8.5741, 0.0083, 1.1966, 0.0331, 0.0719, 0.1576
946.5936, 38.6806, 4.8701, 0.0163, 1.4167, 0.0881, -0.0272, 0.2363
1097.5562, 45.1286, 10.4891, 0.0076, 1.1479, 0.0230, -0.0059, 0.1340
1242.8930, 51.5910, 4.9354, 0.0195, 1.4095, 0.0861, 0.0332, 0.2344
1432.0145, 58.0082, 8.1966, 0.0042, 1.2091, 0.0359, -0.0772, 0.1631
1542.8389, 64.4913, 6.1252, 0.0158, 1.3088, 0.0598, 0.0790, 0.2026
1742.4103, 70.9000, 5.7997, 0.0029, 1.3318, 0.0657, -0.0740, 0.2103
1856.9226, 77.3788, 8.7632, 0.0144, 1.1908, 0.0319, 0.0689, 0.1549
2041.2003, 83.8090, 4.8460, 0.0138, 1.4194, 0.0888, -0.0235, 0.2370
2194.9992, 90.2553, 10.4577, 0.0036, 1.1486, 0.0231, -0.0114, 0.1343
2337.4896, 96.7166, 4.9704, 0.0100, 1.4058, 0.0851, 0.0370, 0.2333
2528.1175, 103.1373, 8.0108, 0.0097, 1.2158, 0.0374, -0.0793, 0.1659
2637.9875, 109.6202, 6.2439, 0.0176, 1.3011, 0.0579, 0.0805, 0.1999
2837.4706, 116.0338, 5.6995, 0.0189, 1.3394, 0.0677, -0.0722, 0.2126
2953.3242, 122.5044, 8.9440, 0.0049, 1.1854, 0.0307, 0.0659, 0.1524
3135.8094, 128.9380, 4.8254, 0.0132, 1.4217, 0.0894, -0.0199, 0.2377
3292.4454, 135.3825, 10.4056, 0.0032, 1.1496, 0.0233, -0.0170, 0.1349
3432.2225, 141.8496, 5.0126, 0.0208, 1.4013, 0.0840, 0.0401, 0.2321
3624.1146, 148.2661, 7.8285, 0.0139, 1.2226, 0.0390, -0.0811, 0.1688
3733.1248, 154.7462, 6.3645, 0.0098, 1.2936, 0.0560, 0.0819, 0.1971
3932.4068, 161.1633, 5.6096, 0.0212, 1.3465, 0.0695, -0.0699, 0.2149
4049.9481, 167.6331, 9.1287, 0.0104, 1.1802, 0.0296, 0.0622, 0.1500
4230.4206, 174.0676, 4.8084, 0.0140, 1.4236, 0.0899, -0.0163, 0.2382
4389.8963, 180.5107, 10.3331, 0.0081, 1.1512, 0.0236, -0.0226, 0.1356
4526.8107, 186.9730, 5.0543, 0.0052, 1.3970, 0.0828, 0.0439, 0.2308
4720.0050, 193.3947, 7.6509, 0.0162, 1.2296, 0.0406, -0.0826, 0.1718
4828.3798, 199.8750, 6.4950, 0.0114, 1.2858, 0.0541, 0.0829, 0.1943
5027.2167, 206.2881, 5.5296, 0.0088, 1.3531, 0.0712, -0.0671, 0.2172
5146.5578, 212.7587, 9.3028, 0.0006, 1.1755, 0.0286, 0.0586, 0.1477
5325.0336, 219.1976, 4.7950, 0.0160, 1.4252, 0.0903, -0.0126, 0.2387
5487.2384, 225.6378, 10.2431, 0.0065, 1.1531, 0.0240, -0.0279, 0.1366
5621.5339, 232.1035, 5.1037, 0.0091, 1.3920, 0.0815, 0.0471, 0.2293
5815.7874, 238.5226, 7.4789, 0.0159, 1.2368, 0.0423, -0.0837, 0.1748
5923.6227, 245.0007, 6.6268, 0.0024, 1.2783, 0.0522, 0.0839, 0.1914
6122.0344, 251.4149, 5.4526, 0.0026, 1.3596, 0.0729, -0.0642, 0.2194
6243.3889, 257.8871, 9.4770, 0.0055, 1.1710, 0.0277, 0.0544, 0.1455
6419.6478, 264.3280, 4.7852, 0.0188, 1.4263, 0.0906, -0.0090, 0.2390
6584.5881, 270.7664, 10.1339, 0.0134, 1.1555, 0.0245, -0.0334, 0.1378
6716.2515, 277.2324, 5.1566, 0.0090, 1.3868, 0.0801, 0.0503, 0.2278
6911.4608, 283.6498, 7.3134, 0.0121, 1.2440, 0.0440, -0.0843, 0.1778
7018.9811, 290.1287, 6.7681, 0.0013, 1.2706, 0.0504, 0.0844, 0.1884
7216.8597, 296.5437, 5.3787, 0.0024, 1.3661, 0.0746, -0.0615, 0.2214
7340.3235, 303.0155, 9.6433, 0.0105, 1.1668, 0.0268, 0.0500, 0.1435
7514.2630, 309.4586, 4.7791, 0.0223, 1.4270, 0.0908, -0.0055, 0.2392
7681.7156, 315.8919, 10.0134, 0.0026, 1.1581, 0.0250, -0.0382, 0.1391
7810.9634, 322.3599, 5.2129, 0.0046, 1.3814, 0.0787, 0.0536, 0.2261
8007.0237, 328.7758, 7.1552, 0.0040, 1.2513, 0.0457, -0.0846, 0.1808
8114.4532, 335.2584, 6.9184, 0.0072, 1.2628, 0.0485, 0.0845, 0.1855
8311.6926, 341.6745, 5.3082, 0.0079, 1.3725, 0.0763, -0.0587, 0.2233
8437.2457, 348.1413, 9.7956, 0.0019, 1.1632, 0.0260, 0.0456, 0.1417
8608.7359, 354.5803, 4.7767, 0.0023, 1.4273, 0.0909, -0.0011, 0.2393
8778.8528, 361.0193, 9.8762, 0.0029, 1.1613, 0.0257, -0.0431, 0.1407
