E0.950000, L_z3.200000, r5.000000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000004
E0.950000, L_z3.200000, r4.900000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000004
E0.950000, L_z3.200000, r4.800000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000002
E0.950000, L_z3.200000, r4.700000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000004
E0.950000, L_z3.200000, r4.600000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000002
E0.950000, L_z3.200000, r4.500000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000002
E0.950000, L_z3.200000, r4.400000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000002
E0.950000, L_z3.200000, r4.300000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000001
E0.950000, L_z3.200000, r4.200000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000004
E0.950000, L_z3.200000, r4.100000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000001
E0.950000, L_z3.200000, r4.000000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000002
E0.950000, L_z3.200000, r3.900000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000002
E0.950000, L_z3.200000, r3.800000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
0.000000
E0.950000, L_z3.200000, r3.700000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000002
E0.950000, L_z3.200000, r3.600000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
0.000000
E0.950000, L_z3.200000, r3.500000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000002
E0.950000, L_z3.200000, r3.400000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000002
E0.950000, L_z3.200000, r3.300000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000001
E0.950000, L_z3.200000, r3.200000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
-0.000000
E0.950000, L_z3.200000, r3.100000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
0.000000
E0.950000, L_z3.200000, r3.000000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
0.000006
E0.950000, L_z3.200000, r2.900000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
0.000002
E0.950000, L_z3.200000, r2.800000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
0.000005
E0.950000, L_z3.200000, r2.700000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
0.000011
E0.950000, L_z3.200000, r2.600000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
0.000006
E0.950000, L_z3.200000, r2.500000, ur0.000000, M1.000000, J0.300000, M20.270000, S3-0.027000, M40.008100
0.000006
