E0.950000, L_z3.000000, r3.000000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.598302
E0.950000, L_z3.000000, r2.900000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.625944
E0.950000, L_z3.000000, r2.800000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.661896
E0.950000, L_z3.000000, r2.700000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.722074
E0.950000, L_z3.000000, r2.600000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.000375
E0.950000, L_z3.000000, r2.500000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.000000
E0.950000, L_z3.000000, r2.400000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.000000
E0.950000, L_z3.000000, r2.300000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.000000
E0.950000, L_z3.000000, r2.200000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.000000
E0.950000, L_z3.000000, r2.100000, ur0.000000, M1.000000, J0.300000, M2-0.000000, S3-0.005400, M40.024300
0.000000
